       .000            450.30823                          
   -60177.34766       31741.31641       23179.84961       
  -26.495981216     -46.925094604     -26.029304504       
   -.8358171582       .4336886704       .3366362453       
    .5408470035       .7557702065       .3691825569       
    .0943093449      -.4906378388       .8662449121       
      1.000            443.35205                          
   -60203.83203       31694.38477       23153.81250       
  -26.475009918     -46.936061859     -26.037469864       
   -.8362661600       .4330816269       .3363021612       
    .5401472449       .7561807632       .3693665266       
    .0943393782      -.4905414879       .8662962317       
      2.000            436.41992                          
   -60230.29688       31647.44141       23127.77344       
  -26.454021454     -46.947013855     -26.045627594       
   -.8367147446       .4324742854       .3359678388       
    .5394468904       .7565907240       .3695502579       
    .0943691954      -.4904450178       .8663475513       
      3.000            429.51184                          
   -60256.74219       31600.49219       23101.72461       
  -26.433019638     -46.957950592     -26.053773880       
   -.8376226425       .4312416911       .3352891803       
    .5387460589       .7570004463       .3697338402       
    .0943694413      -.4903333485       .8664107919       
      4.000            422.62784                          
   -60283.16016       31553.52930       23075.66602       
  -26.411993027     -46.968872070     -26.061908722       
   -.8371629119       .4318664968       .3356332481       
    .5380446315       .7574095726       .3699170947       
    .0944570750      -.4902667403       .8664389253       
      5.000            415.76791                          
   -60309.56641       31506.55469       23049.59961       
  -26.390945435     -46.979763031     -26.070034027       
   -.8386415839       .4298529923       .3345241845       
    .5373428464       .7578183413       .3701002002       
    .0944199562      -.4901359677       .8665169477       
      6.000            408.93207                          
   -60335.94531       31459.57031       23023.52539       
  -26.369878769     -46.990631104     -26.078144073       
   -.8380575776       .4306496978       .3349630833       
    .5366404057       .7582265735       .3702830672       
    .0945156738      -.4900735021       .8665418625       
      7.000            402.12033                          
   -60362.30859       31412.56641       22997.44141       
  -26.348796844     -47.001476288     -26.086242676       
   -.8397851586       .4282882214       .3336617947       
    .5359376073       .7586343884       .3704656959       
    .0944613293      -.4899340570       .8666266203       
      8.000            395.33267                          
   -60388.63672       31365.56445       22971.35156       
  -26.327686310     -47.012302399     -26.094326019       
   -.8389503956       .4294312894       .3342918158       
    .5352341533       .7590417266       .3706480861       
    .0945735946      -.4898799658       .8666449189       
      9.000            388.56918                          
   -60414.95703       31318.54492       22945.25391       
  -26.306549072     -47.023086548     -26.102390289       
   -.8409252763       .4267208576       .3327974975       
    .5345302820       .7594485879       .3708302379       
    .0945017934      -.4897319376       .8667364717       
     10.000            381.82980                          
   -60441.25391       31271.51758       22919.14844       
  -26.285385132     -47.033824921     -26.110431671       
   -.8398413062       .4282111526       .3336193264       
    .5338259935       .7598551512       .3710122108       
    .0946307778      -.4896862209       .8667481542       
     11.000            375.11456                          
   -60467.53125       31224.48047       22893.03516       
  -26.264190674     -47.044528961     -26.118450165       
   -.8402860761       .4276005924       .3332826495       
    .5331211686       .7602611780       .3711940050       
    .0946591347      -.4895893335       .8667998910       
     12.000            368.42352                          
   -60493.78125       31177.42578       22866.91016       
  -26.242959976     -47.055179596     -26.126441956       
   -.8422040343       .4249542058       .3318227828       
    .5324158072       .7606666088       .3713754714       
    .0945891142      -.4894425273       .8668903708       
     13.000            361.75662                          
   -60520.01563       31130.37109       22840.78125       
  -26.221685410     -47.065761566     -26.134391785       
   -.8411739469       .4263780415       .3326084018       
    .5317099690       .7610716820       .3715567589       
    .0947152376      -.4893952608       .8669033647       
     14.000            355.11395                          
   -60546.22266       31083.29492       22814.64063       
  -26.200365067     -47.076263428     -26.142301559       
   -.8416171074       .4257661700       .3322708607       
    .5310035944       .7614762783       .3717377782       
    .0947430357      -.4892981052       .8669551611       
     15.000            348.49548                          
   -60572.41016       31036.21484       22788.49414       
  -26.178985596     -47.086681366     -26.150157928       
   -.8433195353       .4234058261       .3309679925       
    .5302968025       .7618804574       .3719185889       
    .0946856663      -.4891580939       .8670403361       
     16.000            341.90128                          
   -60598.58594       30989.12500       22762.33984       
  -26.157543182     -47.096973419     -26.157951355       
   -.8425019979       .4245412648       .3315948844       
    .5295895338       .7622841597       .3720992208       
    .0947981104      -.4891037345       .8670588136       
     17.000            335.33133                          
   -60624.73438       30942.02539       22736.17969       
  -26.136016846     -47.107135773     -26.165664673       
   -.8444319367       .4218547940       .3301113546       
    .5288817286       .7626874447       .3722795844       
    .0947240219      -.4889555573       .8671504259       
     18.000            328.78568                          
   -60650.85547       30894.90625       22710.00977       
  -26.114398956     -47.117126465     -26.173278809       
   -.8433849216       .4233147204       .3309177160       
    .5281734467       .7630901933       .3724597096       
    .0948523954      -.4889090657       .8671626449       
     19.000            322.26437                          
   -60676.96094       30847.78516       22683.83398       
  -26.092664719     -47.126907349     -26.180778503       
   -.8438256979       .4227009714       .3305787444       
    .5274646282       .7634924054       .3726395965       
    .0948793218      -.4888117015       .8672145605       
     20.000            315.76746                          
   -60703.03125       30800.65430       22657.64648       
  -26.070791245     -47.136440277     -26.188133240       
   -.8449868560       .4210783243       .3296823204       
    .5267555118       .7638942599       .3728193045       
    .0948563442      -.4886894524       .8672859073       
     21.000            309.29495                          
   -60729.10156       30753.51563       22631.45703       
  -26.048746109     -47.145656586     -26.195312500       
   -.8454716802       .4203985035       .3293066323       
    .5260457993       .7642956376       .3729987144       
    .0948795229      -.4885903299       .8673392534       
     22.000            302.84698                          
   -60755.13672       30706.36328       22605.25781       
  -26.026487350     -47.154487610     -26.202266693       
   -.8459559083       .4197181761       .3289305270       
    .5253356099       .7646965384       .3731779456       
    .0949025005      -.4884911776       .8673925996       
     23.000            296.42355                          
   -60781.16016       30659.20313       22579.05078       
  -26.003982544     -47.162841797     -26.208946228       
   -.8468270898       .4184910357       .3282520175       
    .5246250629       .7650969028       .3733569384       
    .0948981792      -.4883785248       .8674564958       
     24.000            290.02481                          
   -60807.14844       30612.03711       22552.83984       
  -25.981153488     -47.170578003     -26.215278625       
   -.8460215330       .4196259081       .3288795352       
    .5239139795       .7654967308       .3735355735       
    .0950110257      -.4883239865       .8674749136       
     25.000            283.65085                          
   -60833.12109       30564.86328       22526.62109       
  -25.957937241     -47.177581787     -26.221187592       
   -.8475873470       .4174163043       .3276574612       
    .5232024789       .7658962011       .3737140596       
    .0949573219      -.4881869853       .8675578237       
     26.000            277.30179                          
   -60859.06250       30517.68359       22500.39844       
  -25.934230804     -47.183647156     -26.226560593       
   -.8468961716       .4183933139       .3281979561       
    .5224905610       .7662950158       .3738923371       
    .0950624719      -.4881285727       .8675792217       
     27.000            270.97781                          
   -60884.98438       30470.50195       22474.17188       
  -25.909923553     -47.188552856     -26.231271744       
   -.8479669094       .4168784916       .3273599148       
    .5217781663       .7666935325       .3740703464       
