 3.943e-01  1.900e+01  7.000e+00  1.600e+01  2.200e+01  8.000e+00
 4.728e-01  1.800e+01  4.000e+00  2.100e+01  2.500e+01 -5.000e+00
 5.798e-01  5.500e+01  3.500e+01  3.700e+01  5.000e+01  2.300e+01
 7.176e-01  6.100e+01  4.900e+01  4.800e+01  4.400e+01  1.800e+01
 8.900e-01  8.800e+01  5.400e+01  4.900e+01  3.200e+01  6.300e+01
 1.102e+00  1.000e+01  6.400e+01  4.900e+01  2.200e+01  4.100e+01
 1.359e+00  4.800e+01  2.300e+01  3.400e+01  2.000e+01 -1.000e+00
 1.669e+00  7.100e+01  2.900e+01  4.300e+01  1.500e+01  4.100e+01
 2.040e+00  6.000e+01  2.900e+01  4.800e+01  2.500e+01  2.100e+01
 2.480e+00  6.300e+01  3.700e+01  5.700e+01  4.200e+01  2.000e+01
 2.996e+00  7.300e+01  4.400e+01  6.000e+01  5.200e+01  3.200e+01
 3.359e+00  7.700e+01  4.900e+01  6.600e+01  5.100e+01  3.500e+01
 3.776e+00  6.900e+01  4.200e+01  6.500e+01  4.700e+01  1.900e+01
 4.129e+00  7.300e+01  4.200e+01  6.300e+01  5.000e+01  2.200e+01
 4.533e+00  6.500e+01  3.700e+01  6.400e+01  4.900e+01  3.000e+00
 4.969e+00  6.800e+01  3.400e+01  6.200e+01  4.700e+01 -2.000e+00
 5.375e+00  5.900e+01  3.000e+01  5.000e+01  4.800e+01  1.000e+00
 5.812e+00  6.200e+01  2.000e+01  4.600e+01  4.300e+01  2.700e+01
 6.259e+00  4.300e+01  2.000e+01  4.000e+01  2.700e+01 -8.000e+00
 6.716e+00  3.800e+01  1.000e+01  2.600e+01  1.900e+01 -2.400e+01
 7.183e+00  1.800e+01 -2.000e+00  1.500e+01  9.000e+00 -1.000e+01
 7.660e+00  7.000e+00  1.000e+01 -3.000e+00 -8.000e+00 -3.700e+01
 8.147e+00 -5.000e+00 -1.800e+01 -1.500e+01 -2.100e+01 -5.100e+01
 8.645e+00 -4.000e+00 -2.600e+01 -2.600e+01  5.000e+00 -5.000e+00
 9.154e+00 -2.700e+01 -2.400e+01 -3.500e+01 -1.900e+01 -2.300e+01
 9.673e+00 -1.500e+01 -3.200e+01 -2.600e+01 -1.300e+01 -3.600e+01
 1.020e+01 -1.100e+01 -1.900e+01 -2.600e+01  4.000e+00 -3.100e+01
 1.075e+01  1.000e+00 -1.200e+01  5.000e+00  2.800e+01 -3.700e+01
 1.130e+01  4.000e+01 -2.400e+01  4.000e+00  5.200e+01  3.200e+01
 1.186e+01  3.000e+01 -1.400e+01  1.900e+01  1.010e+02  5.600e+01
 1.244e+01  7.300e+01 -1.700e+01 -5.000e+00  8.200e+01  1.290e+02
 1.302e+01 -6.000e+00 -3.800e+01 -1.000e+00  2.550e+02  2.150e+02
 1.362e+01  8.900e+01 -2.800e+01  1.000e+02  2.550e+02  2.040e+02
 1.422e+01  2.550e+02 -2.300e+01  2.550e+02  2.550e+02  1.910e+02
 1.483e+01  2.550e+02 -1.200e+01  2.550e+02  2.550e+02  1.720e+02
 1.545e+01  2.550e+02  4.200e+01  2.550e+02  2.550e+02  1.060e+02
 1.608e+01  2.550e+02  3.700e+01  2.550e+02  2.550e+02  1.090e+02
 1.671e+01  2.550e+02  5.400e+01  2.550e+02  2.550e+02  1.370e+02
 1.735e+01  2.550e+02 -2.800e+01  2.550e+02  2.550e+02  2.150e+02
 1.800e+01  2.550e+02 -6.300e+01  2.550e+02  2.550e+02  1.970e+02
 1.865e+01  2.550e+02 -6.600e+01 -1.000e+00  1.420e+02  2.550e+02
 1.931e+01 -5.100e+01 -6.600e+01 -9.800e+01 -2.300e+01  5.000e+01
 1.998e+01 -1.110e+02 -8.500e+01 -1.430e+02 -3.700e+01 -8.400e+01
 2.066e+01 -1.390e+02 -8.300e+01 -1.650e+02 -4.500e+01 -1.150e+02
 3.943e-01  1.000e+00                                            
 4.728e-01  1.000e+00                                            
 5.798e-01  1.000e+00                                            
 7.176e-01  1.000e+00                                            
 8.900e-01  2.000e+00                                            
 1.102e+00  3.000e+00                                            
 1.359e+00  1.000e+00                                            
 1.669e+00  2.000e+00                                            
 2.040e+00  2.000e+00                                            
 2.480e+00  1.000e+00                                            
 2.996e+00  1.000e+00                                            
 3.359e+00  1.000e+00                                            
 3.776e+00  1.000e+00                                            
 4.129e+00  1.000e+00                                            
 4.533e+00  1.000e+00                                            
 4.969e+00  1.000e+00                                            
 5.375e+00  1.000e+00                                            
 5.812e+00  1.000e+00                                            
 6.259e+00  1.000e+00                                            
 6.716e+00  0.000e+00                                            
 7.183e+00  1.000e+00                                            
 7.660e+00  0.000e+00                                            
 8.147e+00  0.000e+00                                            
 8.645e+00  1.000e+00                                            
 9.154e+00  0.000e+00                                            
 9.673e+00  0.000e+00                                            
 1.020e+01  0.000e+00                                            
 1.075e+01  0.000e+00                                            
 1.130e+01  1.000e+00                                            
 1.186e+01  1.000e+00                                            
 1.244e+01  1.000e+00                                            
 1.302e+01  1.000e+00                                            
 1.362e+01  1.000e+00                                            
 1.422e+01  1.000e+00                                            
 1.483e+01  1.000e+00                                            
 1.545e+01  2.000e+00                                            
 1.608e+01  2.000e+00                                            
 1.671e+01  2.000e+00                                            
 1.735e+01  3.000e+00                                            
 1.800e+01  2.000e+00                                            
 1.865e+01 -1.400e+01                                            
 1.931e+01  1.000e+00                                            
 1.998e+01 -1.000e+00                                            
 2.066e+01 -1.000e+00                                            
