    1   1    5  1    7 FC  7 16 B5 B2   EB 90  0 13  7
    2   2    5  2    7 FC  7 16 B5 C2   10 16  8  1 F7
    3   3    5  3    7 FC  7 16 B5 D2   CA 7A 7E 7D 7D
    4   4    5  4    7 FC  7 16 B5 E2   4A 2C  2 A8 D1
    5   5    5  5    7 FC  8 16 B5  2   4B D2 34 5C  E
    6   6    5  6    7 FC  8 16 B5 12   A8 A1 48 91 94
    7   7    5  7    7 FC  8 16 B5 22   49 7A  3 BF 26
    8   8    5  8    7 FC  8 16 B5 32   16 95 95 50 56
    9   9    5  9    7 FC  8 16 B5 42   40 FF C9 95 95
   10  10    5  A    7 FC  8 16 B5 52   62 6D 55 70 3F
   11  11    5  B    7 FC  8 16 B5 62   F3 AD 5D 57 15
   12  12    5  C    7 FC  8 16 B5 72   25 69 73 FD 11
   13  13    5  D    7 FC  8 16 B5 82   67 9A 85 45 5B
   14  14    5  E    7 FC  8 16 B5 92   69 FF 5D 99 D6
   15  15    5  F    7 FC  8 16 B5 A2   9D B8 55 9A 7F
   16  16    5 10    7 FC  8 16 B5 B2   D7 26 71 A7 6D
   17  17    5 11    7 FC  8 16 B5 C2   15 46 9F F5 D1
   18  18    5 12    7 FC  8 16 B5 D2   9A 69 1B 65 55
   19  19    5 13    7 FC  8 16 B5 E2   A7 FD 6F 66 9A
   20  20    5 54    7 FC  9 16 B5  2   56 C9 54 6B FF
   21  21    5 55    7 FC  9 16 5D 14   EB 90  1 12  4
   22  22    5 56    7 FC  9 16 5D 24   15 19 FB  1  5
   23  23    5 57    7 FC  9 16 5D 34   D6 29 1A 12 26
   24  24    5 58    7 FC  9 16 5D 44   6A 2C  5 AD 99
   25  25    5 59    7 FC  9 16 5D 54   69 1B 25 4D B7
   26  26    5 5A    7 FC  9 16 5D 64   FD 6A 66 9A 16
   27  27    5 5B    7 FC  9 16 5D 74   C1 53 6F FF 57
   28  28    5 5C    7 FC  9 16 5D 84   59 96 85 A9 54
   29  29    5 5D    7 FC  9 16 5D 94   1C 3F D5 96 65
   30  30    5 5E    7 FC  9 16 5D A4   A3 6A 5B D6 FF
   31  31    5 5F    7 FC  9 16 5D B4   F5 69 99 69 1A
   32  32    5 60    7 FC  9 16 5D C4   86 F9 B7 FD 65
   33  33    5 61    7 FC  9 16 5D D4   66 9A 56 B5 52
   34  34    5 62    7 FC  9 16 5D E4   6A FF 57 19 96
   35  35    5 63    7 FC  A 16 5D  4   8D A9 54 19 FF
   36  36    5 64    7 FC  A 16 5D 14   D5 E6 69 A4 6A
   37  37    5 65    7 FC  A 16 5D 24   95 16 3F F5 9D
   38  38    5 66    7 FC  A 16 5D 34   9C 69 9A E5 51
   39  39    5 67    7 FC  A 16 5D 44   7F FD 5F 67 5A
   40  40    5 68    7 FC  A 16 5D 54   66 B9 53 5C FF
   41  41    5 69    7 FC  A 16 5D 64   EB 90  2 37 23
   42  42    5 6A    7 FC  A 16 5D 74   25 32 17  1 FF
   43  43    5 6B    7 FC  A 16 5D 84   D2 33 24 23 35
   44  44    5 6C    7 FC  A 16 5D 94   7F 2D  5 75 9B
   45  45    5 6D    7 FC  A 16 5D A4   69 9A F5 4D 5F
   46  46    5 6E    7 FC  A 16 5D B4   FD 57 67 1A 76
   47  47    5 6F    7 FC  A 16 5D C4   C5 52 54 FF 54
   48  48    5 70    7 FC  A 16 5D D4   99 D6 9D B4 54
   49  49    5 71    7 FC  A 16 5D E4   54 3F D5  6 75
   50  50    5 72    7 FC  B 16 5D  4   A9 6D 95 14 DF
   51  51    5 73    7 FC  B 16 5D 14   F5 49 9E 6A 5B
   52  52    5 74    7 FC  B 16 5D 24   A5 4D 2B FD 51
   53  53    5 75    7 FC  B 16 5D 34   67 1A B6 ED 53
   54  54    5 76    7 FC  B 16 5D 44   47 FF 54 19 F6
   55  55    5 77    7 FC  B 16 5D 54   AD 50 55 11 7F
   56  56    5 78    7 FC  B 16 5D 64   D5 16 81 AC 54
   57  57    5 79    7 FC  B 16 5D 74   15 54 4F F5 41
   58  58    5 7A    7 FC  B 16 5D 84   A1 6B 55  5 55
   59  59    5 7B    7 FC  B 16 5D 94    B FD 50 67 DA
   60  60    5 7C    7 FC  B 16 5D A4   C5 41 56 41 FF
   61  61    5 7D    7 FC  B 16 5D B4   EB 90  3 3D 31
   62  62    5 7E    7 FC  B 16 5D C4   30 2C 12  1 FC
   63  63    5 7F    7 FC  B 16 5D D4   CE 48 3D 3F 4C
   64   0    5 40    7 FC  B 16 5D E4   7F 6A  5 4D A2
   65   1    5 41    7 FC  C 16 5D  4   6B 95 15 60 FF
   66   2    5 42    7 FC  C 16 5D 14   FD 55 68 1A E5
   67   3    5 43    7 FC  C 16 5D 24   49 5B 3E FF 56
   68   4    5 44    7 FC  C 16 5D 34   5A  6 BD 52 56
   69   5    5 45    7 FC  C 16 5D 44   CF 7F D5 B6 85
   70   6    5 46    7 FC  C 16 5D 54   B2 54 95 C3 CF
   71   7    5 47    7 FC  C 16 5D 64   F5 6D A1 6C 55
   72   8    5 48    7 FC  C 16 5D 74   45 88 F3 FD 5E
   73   9    5 49    7 FC  C 16 5D 84   68 5B  5 49 60
   74  10    5 4A    7 FC  C 16 5D 94   3B FF 57 DA 16
   75  11    5 4B    7 FC  C 16 5D A4   C1 52 58  E FF
