   0  15.500 Hi 75             
   1  15.625 Hi 75       V4C   
   2  15.750 Hi 75     HROFF   
   3  15.875 Hi 75       V3C   
   4  16.000 Hi 75 m   H3OFF   
   5  16.125 Hi 75       V1C   
   6  16.250 Hi 75     H6OFF   
   7  16.375 Hi 75       V1C   
   8  12.    Hi 75             
   9  13.    Hi 75             
  10  14.    Hi 75             
  11  15.    Hi 75             
  12  16.    Hi 75 m           
  13  17.    Hi 75             
  14  18.    Hi 75             
  15  19.    Hi 75             
  16  20.    Hi 75 m           
  17  21.    Hi 75             
  18  22.    Hi 75             
  19  23.    Hi 75             
  20  24.    Hi 75             
  21  25.    Hi 75             
  22  26.    Hi 75             
  23  27.    Hi 75             
  24  28.    Hi 75             
  25  29.    Hi 75             
  26  30.    Hi 75             
  27  31.    Hi 75             
  28  32.    Hi 75 m           
  29  33.    Hi 75             
  30  34.    Hi 75             
  31  35.    Hi 75             
  32  36.    Hi 75             
  33  37.    Hi 75             
  34  38.    Hi 75             
  35  39.    Hi 75             
  36  40.    Hi 75 m           
  37  41.    Hi 75             
  38  42.    Hi 75             
  39  43.    Hi 75             
  40  44.    Hi 75 m           
  41  45.    Hi 75             
  42  46.    Hi 75             
  43  47.    Hi 75             
  44  48.    Hi 75             
  45  49.    Hi 75             
  46  50.    Hi 75             
  47  51.    Hi 75             
  48  52.    Hi 75 m           
  49  53.    Hi 75             
  50  54.    Hi 75             
  51  55.    Hi 75             
  52  56.    Hi 75             
  53  57.    Hi 75             
  54  58.    Hi 75             
  55  59.    Hi 75             
  56  60.    Hi 75             
  57  61.    Hi 75             
  58  62.    Hi 75             
  59  63.    Hi 75             
  60  64.    Hi 75             
  61  65.    Hi 75             
  62  66.    Hi 75 m           
  63  67.    Hi 75             
  64  68.    Hi 75             
  65  72.    Hi 75             
  66  73.    Hi 75             
  67  74.    Hi 75             
  68  75.    Hi 75             
  69  76.    Hi 75             
  70  77.    Hi 75             
  71  78.    Hi 75 m           
  72   2.    Hi 75 m           
  73  80.    Hi 75             
  74  81.    Hi 75             
  75  82.    Hi 75             
  76  83.    Hi 75             
  77  84.    Hi 75             
  78 122.    Hi 75             
  79 124.    Hi 75             
  80 152.    Hi 75             
  81   3.    Hi 75             
  82   4.    Hi 75 m           
  83   4.    Hi 75       I1O   
  84   4.    Hi 75      H2ON   
  85   4.    Hi 75       I1O   
  86   4.    Hi 75      H2ON   
  87   4.    Hi 75       O1O   
  88   4.    Hi 75     H3OFF   
  89   4.    Hi 75       O1O   
  90   2.    Hi 75 m           
  91   2.    Lo 75       V3C   
  92   3.    Hi 75             
  93   4.    Hi 75             
  94   4.    Lo 75       V3C   
  95  12.    Hi 75             
  96  13.    Hi 75             
  97  14.    Hi 75             
  98  15.    Hi 75             
  99  16.    Hi 75 m           
 100  16.    Hi 75       V5O   
 101  17.    Hi 75             
 102  17.    Hi 75       V5O   
