TIME (SECONDS),ALTITUDE (KM),PRESSURE (BARS),TEMPERATURE (KELVINS),DENSITY (KG/M^3),GRAVITY (M/S^2),dz/dt (M/S),dT/dz (KELVINS/KILOMETER)
19.2,17.291,0.46809,130.0,0.10004,23.265,-99999.0,-99999.0
25.3,16.81,0.47937,131.0,0.10167,23.265,-99999.0,-99999.0
30.2,16.329,0.49084,132.0,0.10331,23.266,-99999.0,-99999.0
35.4,15.849,0.50247,133.0,0.10496,23.266,-92.1,-2.083
41.0,15.369,0.51429,134.0,0.0,23.267,-93.3,-2.084
45.7,14.89,0.52629,135.0,0.10831,23.267,-99.4,-2.086
50.5,14.41,0.53846,136.0,0.11,23.267,-101.4,-2.086
55.3,13.931,0.55082,137.0,0.1117,23.268,-95.2,-2.087
60.4,13.452,0.56337,138.0,0.11342,23.268,-90.8,-2.088
65.9,12.973,0.57611,139.0,0.11514,23.268,-88.9,-2.089
71.1,12.495,0.58903,140.0,0.11689,23.269,-94.0,-2.089
76.2,12.016,0.60215,141.0,0.11864,23.269,-97.7,-2.09
80.8,11.538,0.61546,142.0,0.12041,23.269,-96.4,-2.091
86.1,11.06,0.62896,143.0,0.12219,23.27,-93.3,-2.091
91.3,10.581,0.64266,144.0,0.12398,23.27,-91.0,-2.092
96.4,10.104,0.65655,145.0,0.12579,23.27,-90.7,-2.092
101.7,9.625,0.67066,146.0,0.12761,23.271,-91.0,-2.092
107.1,9.147,0.68496,147.0,0.12944,23.271,-90.4,-2.092
112.2,8.669,0.69947,148.0,0.13129,23.272,-89.0,-2.092
117.8,8.191,0.71419,149.0,0.13315,23.272,-87.4,-2.092
123.3,7.713,0.72911,150.0,0.13503,23.272,-85.4,-2.091
128.8,7.235,0.74425,151.0,0.13692,23.273,-87.6,-2.091
134.4,6.757,0.7596,152.0,0.13882,23.273,-87.5,-2.091
139.7,6.278,0.77517,153.0,0.14074,23.273,-85.9,-2.09
145.5,5.8,0.79096,154.0,0.14267,23.274,-83.0,-2.09
151.4,5.321,0.80696,155.0,0.14462,23.274,-79.1,-2.089
157.5,4.843,0.82319,156.0,0.14658,23.274,-76.5,-2.089
163.8,4.364,0.83964,157.0,0.14856,23.275,-77.6,-2.088
170.0,3.885,0.85632,158.0,0.15055,23.275,-81.2,-2.088
175.5,3.406,0.87323,159.0,0.15255,23.275,-83.6,-2.087
181.3,2.926,0.89037,160.0,0.15457,23.276,-83.8,-2.086
187.2,2.447,0.90773,161.0,0.15661,23.276,-80.3,-2.086
193.0,1.968,0.92534,162.0,0.15866,23.277,-78.6,-2.085
199.4,1.488,0.94318,163.0,0.16072,23.277,-79.2,-2.084
205.4,1.008,0.96126,164.0,0.1628,23.277,-79.2,-2.084
211.3,0.528,0.97958,165.0,0.1649,23.278,-78.8,-2.082
217.8,0.048,0.99814,166.0,0.16701,23.278,-75.2,-2.082
218.4,0.0,1.0,166.0,0.17105,23.278,-74.5,-2.082
224.3,-0.434,1.017,167.0,0.16915,23.278,-77.3,-2.081
230.1,-0.913,1.036,168.0,0.17128,23.279,-76.6,-2.08
236.6,-1.394,1.0553,169.0,0.17343,23.279,-76.7,-2.079
242.9,-1.876,1.0749,170.0,0.17562,23.279,-77.8,-2.078
248.9,-2.357,1.0947,171.0,0.1778,23.28,-81.8,-2.076
254.7,-2.839,1.1148,172.0,0.18001,23.28,-81.7,-2.075
260.6,-3.32,1.1351,173.0,0.18223,23.28,-78.3,-2.074
267.0,-3.803,1.1557,174.0,0.18447,23.281,-72.9,-2.073
273.8,-4.286,1.1766,175.0,0.18673,23.281,-72.4,-2.072
280.7,-4.768,1.1977,176.0,0.189,23.282,-72.2,-2.071
286.9,-5.251,1.2191,177.0,0.19128,23.282,-69.1,-2.069
294.3,-5.735,1.2408,178.0,0.19359,23.282,-68.5,-2.068
301.7,-6.218,1.2627,179.0,0.19591,23.283,-69.8,-2.067
307.9,-6.703,1.285,180.0,0.19826,23.283,-72.8,-2.066
314.8,-7.188,1.3075,181.0,0.20061,23.283,-70.6,-2.064
321.8,-7.67,1.3302,182.0,0.20297,23.284,-66.4,-2.063
329.3,-8.156,1.3533,183.0,0.20537,23.284,-66.6,-2.063
336.5,-8.642,1.3767,184.0,0.20778,23.284,-69.1,-2.061
343.4,-9.126,1.4003,185.0,0.2102,23.285,-68.3,-2.059
350.4,-9.612,1.4242,186.0,0.21263,23.285,-65.2,-2.058
358.6,-10.099,1.4485,187.0,0.2151,23.286,-61.3,-2.057
366.3,-10.585,1.473,188.0,0.21757,23.286,-60.2,-2.056
374.6,-11.071,1.4978,189.0,0.22006,23.286,-61.0,-2.054
382.4,-11.558,1.5229,190.0,0.22257,23.287,-61.5,-2.053
390.3,-12.045,1.5483,191.0,0.22509,23.287,-63.0,-2.051
397.9,-12.534,1.5741,192.0,0.22765,23.287,-63.2,-2.05
405.6,-13.021,1.6001,193.0,0.23021,23.288,-63.6,-2.049
413.3,-13.51,1.6265,194.0,0.2328,23.288,-66.0,-2.047
420.7,-13.997,1.6531,195.0,0.23539,23.288,-67.1,-2.047
427.6,-14.487,1.6801,196.0,0.23801,23.289,-66.8,-2.045
435.4,-14.976,1.7074,197.0,0.24065,23.289,-64.8,-2.044
442.9,-15.465,1.735,198.0,0.2433,23.29,-62.5,-2.042
