TIME (SECONDS),asi_descent: ALTITUDE (KM),asi_descent: PRESSURE (BARS),asi_descent: TEMPERATURE (KELVINS),asi_descent: DENSITY (KG/M^3),asi_descent: GRAVITY (M/S^2),asi_descent: dz/dt (M/S),asi_descent: dT/dz (KELVINS/KILOMETER),dwe_wind: TEMPERATURE (KELVINS),dwe_wind: PRESSURE (BARS),dwe_wind: WIND (METER SECOND^-1),nfr_mctcnfdn: A (broad infrared) (W/m^2),nfr_mctcnfdn: B (solar radiation) (W/m^2),nfr_mctcnfdn: C (water absorption) (W/m^2),nfr_mctcnfdn: D (water emission) (W/m^2),nfr_mctcnfdn: E (methane absorption) (W/m^2),nep_scatter: PRESSURE (BARS),nep_scatter: 5.8 DEGREES (COUNTS),nep_scatter: 16 DEGREES (COUNTS),nep_scatter: 40 DEGREES (COUNTS),nep_scatter: 70 DEGREES (COUNTS),nep_scatter: 178 DEGREES (COUNTS),nep_scatter_baseline_subtracted: PRESSURE (BARS),nep_scatter_baseline_subtracted: 5.8 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 16 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 40 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 70 DEGREES (COUNTS),nep_scatter_baseline_subtracted: 178 DEGREES (COUNTS),nep_scatter_baseline_divided: PRESSURE (BARS),nep_scatter_baseline_divided: 5.8 DEGREES,nep_scatter_baseline_divided: 16 DEGREES,nep_scatter_baseline_divided: 40 DEGREES,nep_scatter_baseline_divided: 70 DEGREES,nep_scatter_baseline_divided: 178 DEGREES,nep_xsec62: PRESSURE (BARS),nep_xsec62: M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M16 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M40 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M70 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M178 CROSS SECTION (METER^-1 STERADIAN^-1)
-2.6,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.3981,1472,2240,3008,4352,-22530,0.3981,1033,1871,2534,3757,-23412,0.3981,3.3531,6.0705,6.346,7.3143,-25.5442,0.3981,0.0008,0.0006,0.0003,0.0004,-0.0001
0.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4058,928,1152,1600,2176,-31740,0.4058,488,784,1124,1582,-32622,0.4058,2.1091,3.1304,3.3613,3.6633,-35.9864,0.4058,0.0004,0.0003,0.0001,0.0002,-0.0002
3.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4136,400,256,592,656,24580,0.4136,-42,-112,114,62,23699,0.4136,0.905,0.6957,1.2385,1.1044,27.9001,0.4136,0.0001,0.0,0.0,0.0,0.0002
6.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4214,368,212,544,592,25600,0.4214,-76,-156,64,-2,24718,0.4214,0.8288,0.5761,1.1333,0.9966,29.0249,0.4214,0.0001,0.0,0.0,0.0,0.0002
9.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4292,416,288,448,464,11010,0.4292,-29,-80,-34,-130,10128,0.4292,0.9348,0.7826,0.9295,0.7811,12.483,0.4292,0.0001,0.0,0.0,0.0,0.0001
12.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.437,432,272,160,120,1088,0.437,-15,-96,-325,-474,205,0.437,0.9664,0.7391,0.3299,0.202,1.2322,0.437,0.0001,0.0,-0.0,-0.0,0.0
14.2,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,30.522,-6.474,-2.861,15.378,-4.507,0.441,392,248,158,118,976,0.44095,-56,-120,-328,-476,92,0.441,0.8752,0.6739,0.3251,0.1987,1.1048,0.441,0.0001,0.0,-0.0,-0.0,0.0
15.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,22.1773,-5.567,-1.8943,11.2323,-3.851,0.4449,352,224,156,116,864,0.4449,-97,-144,-331,-478,-20,0.4449,0.784,0.6087,0.3203,0.1953,0.9774,0.4449,0.0001,0.0,-0.0,-0.0,0.0
18.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,13.8327,-4.66,-0.9277,7.0867,-3.195,0.4527,320,208,156,112,800,0.4527,-132,-160,-334,-482,-85,0.4527,0.708,0.5652,0.3184,0.1886,0.904,0.4527,0.0,0.0,-0.0,-0.0,0.0
18.8,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.488,-3.753,0.039,2.941,-2.539,0.4553,325,211,152,109,811,0.4553333333333333,-127,-157,-339,-485,-75,0.4553,0.7187,0.5725,0.3096,0.184,0.9157,0.4553,0.0,0.0,-0.0,-0.0,0.0
