TIME (SECONDS),TEMPERATURE (KELVINS),PRESSURE (BARS),WIND (METER SECOND^-1)
63.7,138.5564,0.5704,86.4954
69.0,139.5763,0.5835,86.4457
74.3,140.6038,0.597,86.4854
79.7,141.6457,0.6108,86.612
85.0,142.6886,0.6248,86.8204
90.3,143.73,0.639,87.1054
95.7,144.7451,0.653,87.4524
101.0,145.7355,0.6669,87.8533
106.3,146.7262,0.6811,88.3121
111.7,147.7174,0.6954,88.8252
117.0,148.6901,0.7096,89.378
122.3,149.6493,0.7238,89.9681
127.7,150.6086,0.7383,90.6025
133.0,151.5677,0.753,91.2752
138.3,152.5002,0.7674,91.9644
143.7,153.4044,0.7816,92.6657
149.0,154.3089,0.7959,93.3957
154.3,155.2127,0.8104,94.1513
159.7,156.1141,0.8251,94.9294
165.0,157.0019,0.8396,95.7181
170.3,157.8883,0.8544,96.5296
175.7,158.7746,0.8694,97.3603
181.0,159.6595,0.8846,98.2101
186.3,160.537,0.8997,99.0668
191.7,161.4111,0.9149,99.9346
197.0,162.2845,0.9304,100.8187
202.3,163.1568,0.946,101.7163
207.7,164.0246,0.9618,102.6194
213.0,164.8778,0.9774,103.5162
218.3,165.7296,0.9931,104.4196
223.7,166.5737,1.0089,105.3278
229.0,167.4166,1.0249,106.2402
234.3,168.2694,1.0412,107.1681
239.7,169.1273,1.0578,108.1099
245.0,169.9841,1.0746,109.0572
250.3,170.8422,1.0916,110.0087
255.7,171.696,1.1087,110.9606
261.0,172.5242,1.1254,111.8858
266.3,173.3457,1.1422,112.8057
271.7,174.1652,1.1591,113.7267
277.0,174.985,1.1763,114.6499
282.3,175.7947,1.1933,115.5606
287.7,176.5608,1.2097,116.4229
293.0,177.3214,1.226,117.2799
298.3,178.0814,1.2426,118.1359
303.7,178.8425,1.2592,118.9902
309.0,179.6004,1.276,119.8428
314.3,180.3497,1.2928,120.6843
319.7,181.0983,1.3097,121.5211
325.0,181.85,1.3268,122.3572
330.3,182.5977,1.344,123.1892
335.7,183.343,1.3613,124.0174
341.0,184.0624,1.3782,124.8139
346.3,184.7697,1.3948,125.5919
351.7,185.4753,1.4116,126.3651
357.0,186.1796,1.4285,127.135
362.3,186.883,1.4456,127.9026
367.7,187.5806,1.4627,128.6584
373.0,188.2512,1.4792,129.3809
378.3,188.9183,1.4958,130.0965
383.7,189.5845,1.5124,130.8072
389.0,190.2504,1.5292,131.5141
394.3,190.916,1.5462,132.2172
399.7,191.5905,1.5635,132.9272
405.0,192.2991,1.5818,133.6681
410.3,193.0117,1.6004,134.4071
415.7,193.7222,1.6191,135.1406
