TIME (SECONDS),asi_descent: ALTITUDE (KM),asi_descent: PRESSURE (BARS),asi_descent: TEMPERATURE (KELVINS),asi_descent: DENSITY (KG/M^3),asi_descent: GRAVITY (M/S^2),asi_descent: dz/dt (M/S),asi_descent: dT/dz (KELVINS/KILOMETER),dwe_wind: TEMPERATURE (KELVINS),dwe_wind: PRESSURE (BARS),dwe_wind: WIND (METER SECOND^-1),nfr_mctcnfdn: A (broad infrared) (W/m^2),nfr_mctcnfdn: B (solar radiation) (W/m^2),nfr_mctcnfdn: C (water absorption) (W/m^2),nfr_mctcnfdn: D (water emission) (W/m^2),nfr_mctcnfdn: E (methane absorption) (W/m^2),nep_scatter: PRESSURE (BARS),nep_scatter: 5.8 DEGREES (COUNTS),nep_scatter: 16 DEGREES (COUNTS),nep_scatter: 40 DEGREES (COUNTS),nep_scatter: 70 DEGREES (COUNTS),nep_scatter: 178 DEGREES (COUNTS),nep_scatter_corrected: PRESSURE (BARS),nep_scatter_corrected: 5.8 DEGREES,nep_scatter_corrected: 16 DEGREES,nep_scatter_corrected: 40 DEGREES,nep_scatter_corrected: 70 DEGREES,nep_scatter_corrected: 178 DEGREES,nep_xsec62: PRESSURE (BARS),nep_xsec62: M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M16 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M40 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M70 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M178 CROSS SECTION (METER^-1 STERADIAN^-1)
-2.6,,,,,,,,,,,,,,,,0.3981,1472,2240,3008,4352,-22530,0.3981,3.353075170842825,6.070460704607046,6.345991561181434,7.314285714285714,-25.54421768707483,0.3981,0.000767,0.0005797,0.0002635,0.0004248,-0.0001451
0.4,,,,,,,,,,,,,,,,0.4058,928,1152,1600,2176,-31740,0.4058,2.109090909090909,3.130434782608696,3.361344537815126,3.663299663299663,-35.98639455782313,0.4058,0.0004192,0.000271,0.0001294,0.0002024,-0.0002044
3.4,,,,,,,,,,,,,,,,0.4136,400,256,592,656,24580,0.4136,0.9049773755656108,0.6956521739130435,1.2384937238493725,1.1043771043771045,27.90011350737798,0.4136,8.177e-05,1.7e-05,3.348e-05,4.701e-05,0.0001565
6.4,,,,,,,,,,,,,,,,0.4214,368,212,544,592,25600,0.4214,0.8288288288288288,0.5760869565217391,1.1333333333333333,0.9966329966329966,29.0249433106576,0.4214,6.131e-05,4.53e-06,2.89e-05,4.046e-05,0.0001633
9.4,,,,,,,,,,,,,,,,0.4292,416,288,448,464,11010,0.4292,0.9348314606741572,0.782608695652174,0.9294605809128632,0.7811447811447811,12.482993197278912,0.4292,9.192e-05,2.603e-05,1.976e-05,2.738e-05,6.962e-05
12.4,,,,,,,,,,,,,,,,0.437,432,272,160,120,1088,0.437,0.9664429530201344,0.7391304347826086,0.3298969072164948,0.202020202020202,1.232163080407701,0.437,0.0001021,2.148e-05,-7.597e-06,-7.764e-06,5.82e-06
14.2,,,,,,,,,,,30.522,-6.474,-2.861,15.378,-4.507,,,,,,,,,,,,,,,,,,
15.4,,,,,,,,,,,,,,,,0.4449,352,224,156,116,864,0.4449,0.7839643652561247,0.6086956521739131,0.3203285420944558,0.1952861952861952,0.9773755656108596,0.4449,5.102e-05,7.906e-06,-7.971e-06,-8.171e-06,4.38e-06
18.4,,,,,,,,,,,,,,,,0.4527,320,208,156,112,800,0.4527,0.7079646017699115,0.5652173913043478,0.3183673469387755,0.1885521885521885,0.903954802259887,0.4527,3.06e-05,3.385e-06,-7.965e-06,-8.578e-06,3.969e-06
18.8,,,,,,,,,,,5.488,-3.753,0.039,2.941,-2.539,,,,,,,,,,,,,,,,,,
