TIME (SECONDS),asi_descent: ALTITUDE (KM),asi_descent: PRESSURE (BARS),asi_descent: TEMPERATURE (KELVINS),asi_descent: DENSITY (KG/M^3),asi_descent: GRAVITY (M/S^2),asi_descent: dz/dt (M/S),asi_descent: dT/dz (KELVINS/KILOMETER),dwe_wind: TEMPERATURE (KELVINS),dwe_wind: PRESSURE (BARS),dwe_wind: WIND (METER SECOND^-1),nfr_mctcnfdn: A (broad infrared) (W/m^2),nfr_mctcnfdn: B (solar radiation) (W/m^2),nfr_mctcnfdn: C (water absorption) (W/m^2),nfr_mctcnfdn: D (water emission) (W/m^2),nfr_mctcnfdn: E (methane absorption) (W/m^2),nep_scatter: PRESSURE (BARS),nep_scatter: 5.8 DEGREES (COUNTS),nep_scatter: 16 DEGREES (COUNTS),nep_scatter: 40 DEGREES (COUNTS),nep_scatter: 70 DEGREES (COUNTS),nep_scatter: 178 DEGREES (COUNTS),nep_scatter_corrected: PRESSURE (BARS),nep_scatter_corrected: 5.8 DEGREES,nep_scatter_corrected: 16 DEGREES,nep_scatter_corrected: 40 DEGREES,nep_scatter_corrected: 70 DEGREES,nep_scatter_corrected: 178 DEGREES,nep_xsec62: PRESSURE (BARS),nep_xsec62: M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M16 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M40 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M70 CROSS SECTION (METER^-1 STERADIAN^-1),nep_xsec62: M178 CROSS SECTION (METER^-1 STERADIAN^-1)
-2.6,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.3981,1472,2240,3008,4352,-22530,0.3981,3.353075170842825,6.070460704607046,6.345991561181434,7.314285714285714,-25.54421768707483,0.3981,0.000767,0.0005797,0.0002635,0.0004248,-0.0001451
0.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4058,928,1152,1600,2176,-31740,0.4058,2.109090909090909,3.130434782608696,3.361344537815126,3.663299663299663,-35.98639455782313,0.4058,0.0004192,0.000271,0.0001294,0.0002024,-0.0002044
3.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4136,400,256,592,656,24580,0.4136,0.9049773755656108,0.6956521739130435,1.2384937238493725,1.1043771043771045,27.90011350737798,0.4136,8.177e-05,1.7e-05,3.348e-05,4.701e-05,0.0001565
6.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4214,368,212,544,592,25600,0.4214,0.8288288288288288,0.5760869565217391,1.1333333333333333,0.9966329966329966,29.0249433106576,0.4214,6.131e-05,4.53e-06,2.89e-05,4.046e-05,0.0001633
9.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.4292,416,288,448,464,11010,0.4292,0.9348314606741572,0.782608695652174,0.9294605809128632,0.7811447811447811,12.482993197278912,0.4292,9.192e-05,2.603e-05,1.976e-05,2.738e-05,6.962e-05
12.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.437,432,272,160,120,1088,0.437,0.9664429530201344,0.7391304347826086,0.3298969072164948,0.202020202020202,1.232163080407701,0.437,0.0001021,2.148e-05,-7.597e-06,-7.764e-06,5.82e-06
14.2,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,30.522,-6.474,-2.861,15.378,-4.507,0.44095,392,248,158,118,976,0.44095,0.8752036591381296,0.6739130434782609,0.3251127246554753,0.19865319865319858,1.1047693230092803,0.44095,7.656e-05,1.4693e-05,-7.784e-06,-7.967500000000001e-06,5.1e-06
15.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,22.17733333333333,-5.567,-1.8943333333333334,11.232333333333333,-3.851,0.4449,352,224,156,116,864,0.4449,0.7839643652561247,0.6086956521739131,0.3203285420944558,0.1952861952861952,0.9773755656108596,0.4449,5.102e-05,7.906e-06,-7.971e-06,-8.171e-06,4.38e-06
18.4,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,13.832666666666665,-4.66,-0.9276666666666666,7.086666666666666,-3.1950000000000003,0.4527,320,208,156,112,800,0.4527,0.7079646017699115,0.5652173913043478,0.3183673469387755,0.1885521885521885,0.903954802259887,0.4527,3.06e-05,3.385e-06,-7.965e-06,-8.578e-06,3.969e-06
18.8,-99999.0,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.488,-3.753,0.039,2.941,-2.539,0.4553333333333333,325,211,152,109,811,0.4553333333333333,0.7186724364222318,0.572463768115942,0.30960798112348387,0.18396476435692116,0.9156538410852219,0.4553333333333333,3.399333333333333e-05,4.135e-06,-8.342e-06,-8.85e-06,4.038e-06
19.2,17.291,0.46809,130,0.10004,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.54275,-4.03575,0.08399999999999999,2.98175,-2.688,0.4579666666666667,331,213,148,107,821,0.4579666666666667,0.729380271074552,0.5797101449275363,0.30084861530819224,0.17937734016165383,0.9273528799105567,0.4579666666666667,3.7386666666666666e-05,4.885e-06,-8.719e-06,-9.122e-06,4.107e-06
21.4,17.170749999999998,0.47091,130,0.1004475,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.5975,-4.3185,0.129,3.0225,-2.8369999999999997,0.4606,336,216,144,104,832,0.4606,0.7400881057268722,0.5869565217391305,0.2920892494929006,0.1747899159663865,0.9390519187358916,0.4606,4.078e-05,5.635e-06,-9.096e-06,-9.394e-06,4.176e-06
24.4,17.0505,0.47373,130,0.100855,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.65225,-4.60125,0.174,3.06325,-2.9859999999999998,0.4685,320,200,148,104,752,0.4685,0.7017543859649122,0.5434782608695652,0.2983870967741935,0.1747899159663865,0.8468468468468469,0.4685,3.056e-05,1.126e-06,-8.709e-06,-9.393e-06,3.659e-06
24.8,16.93025,0.47655000000000003,131,0.1012625,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.707,-4.884,0.219,3.104,-3.135,0.4716666666666667,315,200,147,103,731,0.4716666666666667,0.6886060467071818,0.5434782608695652,0.29492473118279566,0.17245502227736725,0.8222424671862875,0.4716666666666667,2.716e-05,1.1253333333333335e-06,-8.832000000000001e-06,-9.528666666666666e-06,3.521e-06
25.3,16.81,0.47937,131,0.10167,23.265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.808,-4.351500000000001,0.2895,3.1390000000000002,-2.815,0.47483333333333333,309,200,145,101,709,0.47483333333333333,0.6754577074494515,0.5434782608695652,0.2914623655913978,0.17012012858834805,0.797638087525728,0.47483333333333333,2.376e-05,1.1246666666666666e-06,-8.955e-06,-9.664333333333333e-06,3.383e-06
28.0,16.569499999999998,0.485105,132,0.10249,23.2655,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.909,-3.819,0.36,3.1740000000000004,-2.495,0.478,304,200,144,100,688,0.478,0.6623093681917211,0.5434782608695652,0.288,0.1677852348993288,0.7730337078651686,0.478,2.036e-05,1.124e-06,-9.078e-06,-9.8e-06,3.245e-06
30.2,16.329,0.49084,132,0.10331,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.01,-3.2865,0.4305,3.209,-2.175,0.4815333333333333,304,197,140,101,683,0.4815333333333333,0.6604020697952007,0.536231884057971,0.2793015873015873,0.1699249416358451,0.7659150893597768,0.4815333333333333,2.0353333333333334e-05,3.7533333333333323e-07,-9.452e-06,-9.663333333333333e-06,3.2096666666666665e-06
30.8,16.169,0.49471666666666664,132,0.10386,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,6.111,-2.754,0.501,3.244,-1.855,0.48506666666666665,304,195,136,103,677,0.48506666666666665,0.6584947713986803,0.5289855072463768,0.2706031746031746,0.1720646483723614,0.7587964708543851,0.48506666666666665,2.0346666666666666e-05,-3.733333333333335e-07,-9.826e-06,-9.526666666666666e-06,3.1743333333333332e-06
32.0,16.009,0.49859333333333333,133,0.10441,23.266,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.9792499999999995,-4.72825,0.3765,3.241,-2.97925,0.4886,304,192,132,104,672,0.4886,0.6565874730021598,0.5217391304347826,0.2619047619047619,0.1742043551088777,0.7516778523489933,0.4886,2.034e-05,-1.122e-06,-1.02e-05,-9.39e-06,3.139e-06
35.4,15.849,0.50247,133,0.10496,23.266,-92.1,-2.083,-99999.0,-99999.0,-99999.0,5.8475,-6.702500000000001,0.252,3.2380000000000004,-4.1035,0.4939,280,178,132,102,568,0.4939,0.6023836722612512,0.48369565217391297,0.2606183927402002,0.17057463164458908,0.6344788369883205,0.4939,5.09e-06,-5.039999999999999e-06,-1.0195e-05,-9.593499999999999e-06,2.4685e-06
36.0,15.729,0.505425,133,0.07872,23.26625,-92.39999999999999,-2.08325,-99999.0,-99999.0,-99999.0,5.71575,-8.67675,0.1275,3.2350000000000003,-5.22775,0.4992,256,164,132,100,464,0.4992,0.5481798715203426,0.4456521739130434,0.2593320235756385,0.1669449081803005,0.5172798216276477,0.4992,-1.016e-05,-8.958e-06,-1.019e-05,-9.797e-06,1.798e-06
36.8,15.609,0.50838,134,0.05248,23.2665,-92.69999999999999,-2.0835,-99999.0,-99999.0,-99999.0,5.584,-10.651,0.003,3.232,-6.352,0.5045,250,164,136,100,432,0.5045,0.5331132903249272,0.4456521739130434,0.2658527822158348,0.16680578742348356,0.48061549349972843,0.5045,-1.3965e-05,-8.949e-06,-9.8045e-06,-9.797e-06,1.591e-06
40.0,15.489,0.511335,134,0.02624,23.26675,-93.0,-2.08375,-99999.0,-99999.0,-99999.0,5.793,-8.396333333333333,0.134,3.263666666666667,-5.072333333333334,0.5098,244,164,140,100,400,0.5098,0.5180467091295117,0.4456521739130434,0.2723735408560311,0.1666666666666666,0.4439511653718091,0.5098,-1.777e-05,-8.94e-06,-9.419e-06,-9.797e-06,1.384e-06
