"INSTRUMENT TEMPERATURE, FORWARD (DEGREES CELSIUS)",5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS)
-50.0,2141,741,2617,1870
-49.99,2140,741,2616,1870
-49.98,2139,741,2615,1869
-49.97,2139,741,2615,1869
-49.96,2138,741,2614,1868
-49.95,2137,741,2613,1868
-49.94,2137,740,2612,1867
-49.93,2136,740,2611,1867
-49.92,2136,740,2611,1866
-49.91,2135,740,2610,1866
-49.9,2134,740,2609,1865
-49.89,2134,740,2608,1865
-49.88,2133,740,2608,1864
-49.87,2132,739,2607,1864
-49.86,2132,739,2606,1863
-49.85,2131,739,2605,1863
-49.84,2131,739,2604,1862
-49.83,2130,739,2604,1862
-49.82,2129,739,2603,1861
-49.81,2129,738,2602,1860
-49.8,2128,738,2601,1860
-49.79,2127,738,2600,1859
-49.78,2127,738,2600,1859
-49.77,2126,738,2599,1858
-49.76,2126,738,2598,1858
-49.75,2125,738,2597,1857
-49.74,2124,737,2596,1857
-49.73,2124,737,2596,1856
-49.72,2123,737,2595,1856
-49.71,2122,737,2594,1855
-49.7,2122,737,2593,1855
-49.69,2121,737,2592,1854
-49.68,2120,736,2592,1854
-49.67,2120,736,2591,1853
-49.66,2119,736,2590,1853
-49.65,2119,736,2589,1852
-49.64,2118,736,2588,1852
-49.63,2117,736,2588,1851
-49.62,2117,736,2587,1851
-49.61,2116,735,2586,1850
-49.6,2115,735,2585,1850
-49.59,2115,735,2585,1849
-49.58,2114,735,2584,1849
-49.57,2114,735,2583,1848
-49.56,2113,735,2582,1848
-49.55,2112,734,2581,1847
-49.54,2112,734,2581,1847
-49.53,2111,734,2580,1846
-49.52,2110,734,2579,1846
-49.51,2110,734,2578,1845
-49.5,2109,734,2577,1845
-49.49,2109,734,2577,1844
-49.48,2108,733,2576,1844
-49.47,2107,733,2575,1843
-49.46,2107,733,2574,1843
-49.45,2106,733,2573,1842
-49.44,2105,733,2573,1842
-49.43,2105,733,2572,1841
-49.42,2104,733,2571,1841
-49.41,2104,732,2570,1840
-49.4,2103,732,2570,1840
-49.39,2102,732,2569,1839
-49.38,2102,732,2568,1839
-49.37,2101,732,2567,1838
-49.36,2100,732,2566,1838
-49.35,2100,731,2566,1837
-49.34,2099,731,2565,1837
-49.33,2099,731,2564,1836
-49.32,2098,731,2563,1836
-49.31,2097,731,2562,1835
-49.3,2097,731,2562,1835
-49.29,2096,731,2561,1834
-49.28,2095,730,2560,1834
-49.27,2095,730,2559,1833
-49.26,2094,730,2559,1833
-49.25,2094,730,2558,1832
-49.24,2093,730,2557,1832
-49.23,2092,730,2556,1831
-49.22,2092,729,2555,1831
-49.21,2091,729,2555,1830
-49.2,2091,729,2554,1830
-49.19,2090,729,2553,1829
-49.18,2089,729,2552,1829
-49.17,2089,729,2551,1828
-49.16,2088,729,2551,1828
-49.15,2087,728,2550,1827
-49.14,2087,728,2549,1827
-49.13,2086,728,2548,1826
-49.12,2086,728,2548,1826
-49.11,2085,728,2547,1825
-49.1,2084,728,2546,1825
-49.09,2084,728,2545,1824
-49.08,2083,727,2544,1824
-49.07,2082,727,2544,1823
-49.06,2082,727,2543,1823
-49.05,2081,727,2542,1822
-49.04,2081,727,2541,1822
-49.03,2080,727,2540,1821
-49.02,2079,726,2540,1821
-49.01,2079,726,2539,1820
-49.0,2078,726,2538,1820
-48.99,2077,726,2537,1819
-48.98,2077,726,2537,1819
-48.97,2076,726,2536,1818
-48.96,2076,726,2535,1818
-48.95,2075,725,2534,1817
-48.94,2074,725,2533,1817
-48.93,2074,725,2533,1816
-48.92,2073,725,2532,1816
-48.91,2073,725,2531,1815
-48.9,2072,725,2530,1815
-48.89,2071,725,2530,1814
-48.88,2071,724,2529,1814
-48.87,2070,724,2528,1813
-48.86,2069,724,2527,1813
-48.85,2069,724,2526,1812
-48.84,2068,724,2526,1812
-48.83,2068,724,2525,1811
-48.82,2067,723,2524,1811
-48.81,2066,723,2523,1810
-48.8,2066,723,2523,1810
-48.79,2065,723,2522,1809
-48.78,2065,723,2521,1809
-48.77,2064,723,2520,1808
-48.76,2063,723,2519,1808
-48.75,2063,722,2519,1807
-48.74,2062,722,2518,1807
-48.73,2061,722,2517,1806
-48.72,2061,722,2516,1806
-48.71,2060,722,2516,1805
-48.7,2060,722,2515,1805
-48.69,2059,722,2514,1804
-48.68,2058,721,2513,1804
-48.67,2058,721,2512,1803
-48.66,2057,721,2512,1803
-48.65,2057,721,2511,1802
-48.64,2056,721,2510,1802
-48.63,2055,721,2509,1801
-48.62,2055,720,2509,1801
-48.61,2054,720,2508,1800
-48.6,2053,720,2507,1800
-48.59,2053,720,2506,1800
-48.58,2052,720,2506,1799
-48.57,2052,720,2505,1799
-48.56,2051,720,2504,1798
-48.55,2050,719,2503,1798
-48.54,2050,719,2502,1797
-48.53,2049,719,2502,1797
-48.52,2049,719,2501,1796
-48.51,2048,719,2500,1796
-48.5,2047,719,2499,1795
-48.49,2047,719,2499,1795
-48.48,2046,718,2498,1794
-48.47,2045,718,2497,1794
-48.46,2045,718,2496,1793
-48.45,2044,718,2495,1793
-48.44,2044,718,2495,1792
-48.43,2043,718,2494,1792
-48.42,2042,717,2493,1791
-48.41,2042,717,2492,1791
-48.4,2041,717,2492,1790
-48.39,2041,717,2491,1790
-48.38,2040,717,2490,1789
-48.37,2039,717,2489,1789
-48.36,2039,717,2489,1788
-48.35,2038,716,2488,1788
-48.34,2038,716,2487,1787
-48.33,2037,716,2486,1787
-48.32,2036,716,2485,1786
-48.31,2036,716,2485,1786
-48.3,2035,716,2484,1785
-48.29,2034,716,2483,1785
-48.28,2034,715,2482,1784
-48.27,2033,715,2482,1784
-48.26,2033,715,2481,1783
-48.25,2032,715,2480,1783
-48.24,2031,715,2479,1782
-48.23,2031,715,2479,1782
-48.22,2030,715,2478,1781
-48.21,2030,714,2477,1781
-48.2,2029,714,2476,1780
-48.19,2028,714,2475,1780
-48.18,2028,714,2475,1779
-48.17,2027,714,2474,1779
-48.16,2027,714,2473,1778
-48.15,2026,713,2472,1778
-48.14,2025,713,2472,1777
-48.13,2025,713,2471,1777
-48.12,2024,713,2470,1776
-48.11,2024,713,2469,1776
-48.1,2023,713,2469,1775
-48.09,2022,713,2468,1775
-48.08,2022,712,2467,1775
-48.07,2021,712,2466,1774
-48.06,2021,712,2465,1774
-48.05,2020,712,2465,1773
-48.04,2019,712,2464,1773
-48.03,2019,712,2463,1772
-48.02,2018,712,2462,1772
-48.01,2017,711,2462,1771
-48.0,2017,711,2461,1771
-47.99,2016,711,2460,1770
-47.98,2016,711,2459,1770
-47.97,2015,711,2459,1769
-47.96,2014,711,2458,1769
-47.95,2014,711,2457,1768
-47.94,2013,710,2456,1768
-47.93,2013,710,2456,1767
-47.92,2012,710,2455,1767
-47.91,2011,710,2454,1766
-47.9,2011,710,2453,1766
-47.89,2010,710,2453,1765
-47.88,2010,710,2452,1765
-47.87,2009,709,2451,1764
-47.86,2008,709,2450,1764
-47.85,2008,709,2449,1763
-47.84,2007,709,2449,1763
-47.83,2007,709,2448,1762
-47.82,2006,709,2447,1762
-47.81,2005,708,2446,1761
-47.8,2005,708,2446,1761
-47.79,2004,708,2445,1760
-47.78,2004,708,2444,1760
-47.77,2003,708,2443,1759
-47.76,2002,708,2443,1759
-47.75,2002,708,2442,1758
-47.74,2001,707,2441,1758
-47.73,2001,707,2440,1758
-47.72,2000,707,2440,1757
-47.71,1999,707,2439,1757
-47.7,1999,707,2438,1756
-47.69,1998,707,2437,1756
-47.68,1998,707,2437,1755
-47.67,1997,706,2436,1755
-47.66,1996,706,2435,1754
-47.65,1996,706,2434,1754
-47.64,1995,706,2434,1753
-47.63,1995,706,2433,1753
-47.62,1994,706,2432,1752
-47.61,1993,706,2431,1752
-47.6,1993,705,2430,1751
-47.59,1992,705,2430,1751
-47.58,1992,705,2429,1750
-47.57,1991,705,2428,1750
-47.56,1990,705,2427,1749
-47.55,1990,705,2427,1749
-47.54,1989,705,2426,1748
-47.53,1989,704,2425,1748
-47.52,1988,704,2424,1747
-47.51,1987,704,2424,1747
-47.5,1987,704,2423,1746
-47.49,1986,704,2422,1746
-47.48,1986,704,2421,1745
-47.47,1985,704,2421,1745
-47.46,1984,703,2420,1745
-47.45,1984,703,2419,1744
-47.44,1983,703,2418,1744
-47.43,1983,703,2418,1743
-47.42,1982,703,2417,1743
-47.41,1981,703,2416,1742
-47.4,1981,703,2415,1742
-47.39,1980,702,2415,1741
-47.38,1980,702,2414,1741
-47.37,1979,702,2413,1740
-47.36,1978,702,2412,1740
-47.35,1978,702,2412,1739
-47.34,1977,702,2411,1739
-47.33,1977,702,2410,1738
