BACKWARD CHANNEL (DEGREES CELSIUS),178 DEGREES (COUNTS)
-50.0,3019
-49.99,3018
-49.98,3018
-49.97,3017
-49.96,3016
-49.95,3015
-49.94,3014
-49.93,3014
-49.92,3013
-49.91,3012
-49.9,3011
-49.89,3011
-49.88,3010
-49.87,3009
-49.86,3008
-49.85,3007
-49.84,3007
-49.83,3006
-49.82,3005
-49.81,3004
-49.8,3003
-49.79,3003
-49.78,3002
-49.77,3001
-49.76,3000
-49.75,2999
-49.74,2999
-49.73,2998
-49.72,2997
-49.71,2996
-49.7,2996
-49.69,2995
-49.68,2994
-49.67,2993
-49.66,2992
-49.65,2992
-49.64,2991
-49.63,2990
-49.62,2989
-49.61,2988
-49.6,2988
-49.59,2987
-49.58,2986
-49.57,2985
-49.56,2985
-49.55,2984
-49.54,2983
-49.53,2982
-49.52,2981
-49.51,2981
-49.5,2980
-49.49,2979
-49.48,2978
-49.47,2977
-49.46,2977
-49.45,2976
-49.44,2975
-49.43,2974
-49.42,2974
-49.41,2973
-49.4,2972
-49.39,2971
-49.38,2970
-49.37,2970
-49.36,2969
-49.35,2968
-49.34,2967
-49.33,2966
-49.32,2966
-49.31,2965
-49.3,2964
-49.29,2963
-49.28,2963
-49.27,2962
-49.26,2961
-49.25,2960
-49.24,2959
-49.23,2959
-49.22,2958
-49.21,2957
-49.2,2956
-49.19,2956
-49.18,2955
-49.17,2954
-49.16,2953
-49.15,2952
-49.14,2952
-49.13,2951
-49.12,2950
-49.11,2949
-49.1,2949
-49.09,2948
-49.08,2947
-49.07,2946
-49.06,2945
-49.05,2945
-49.04,2944
-49.03,2943
-49.02,2942
-49.01,2942
-49.0,2941
-48.99,2940
-48.98,2939
-48.97,2938
-48.96,2938
-48.95,2937
-48.94,2936
-48.93,2935
-48.92,2935
-48.91,2934
-48.9,2933
-48.89,2932
-48.88,2931
-48.87,2931
-48.86,2930
-48.85,2929
-48.84,2928
-48.83,2928
-48.82,2927
-48.81,2926
-48.8,2925
-48.79,2924
-48.78,2924
-48.77,2923
-48.76,2922
-48.75,2921
-48.74,2921
-48.73,2920
-48.72,2919
-48.71,2918
-48.7,2917
-48.69,2917
-48.68,2916
-48.67,2915
-48.66,2914
-48.65,2914
-48.64,2913
-48.63,2912
-48.62,2911
-48.61,2911
-48.6,2910
-48.59,2909
-48.58,2908
-48.57,2907
-48.56,2907
-48.55,2906
-48.54,2905
-48.53,2904
-48.52,2904
-48.51,2903
-48.5,2902
-48.49,2901
-48.48,2900
-48.47,2900
-48.46,2899
-48.45,2898
-48.44,2897
-48.43,2897
-48.42,2896
-48.41,2895
-48.4,2894
-48.39,2894
-48.38,2893
-48.37,2892
-48.36,2891
-48.35,2890
-48.34,2890
-48.33,2889
-48.32,2888
-48.31,2887
-48.3,2887
-48.29,2886
-48.28,2885
-48.27,2884
-48.26,2884
-48.25,2883
-48.24,2882
-48.23,2881
-48.22,2881
-48.21,2880
-48.2,2879
-48.19,2878
-48.18,2877
-48.17,2877
-48.16,2876
-48.15,2875
-48.14,2874
-48.13,2874
-48.12,2873
-48.11,2872
-48.1,2871
-48.09,2871
-48.08,2870
-48.07,2869
-48.06,2868
-48.05,2868
-48.04,2867
-48.03,2866
-48.02,2865
-48.01,2864
-48.0,2864
-47.99,2863
-47.98,2862
-47.97,2861
-47.96,2861
-47.95,2860
-47.94,2859
-47.93,2858
-47.92,2858
-47.91,2857
-47.9,2856
-47.89,2855
-47.88,2855
-47.87,2854
-47.86,2853
-47.85,2852
-47.84,2851
-47.83,2851
-47.82,2850
-47.81,2849
-47.8,2848
-47.79,2848
-47.78,2847
-47.77,2846
-47.76,2845
-47.75,2845
-47.74,2844
-47.73,2843
-47.72,2842
-47.71,2842
-47.7,2841
-47.69,2840
-47.68,2839
-47.67,2839
-47.66,2838
-47.65,2837
-47.64,2836
-47.63,2836
-47.62,2835
-47.61,2834
-47.6,2833
-47.59,2833
-47.58,2832
-47.57,2831
-47.56,2830
-47.55,2829
-47.54,2829
-47.53,2828
-47.52,2827
-47.51,2826
-47.5,2826
-47.49,2825
-47.48,2824
-47.47,2823
-47.46,2823
-47.45,2822
-47.44,2821
-47.43,2820
-47.42,2820
-47.41,2819
-47.4,2818
-47.39,2817
-47.38,2817
-47.37,2816
-47.36,2815
-47.35,2814
-47.34,2814
-47.33,2813
-47.32,2812
-47.31,2811
-47.3,2811
-47.29,2810
-47.28,2809
-47.27,2808
-47.26,2808
-47.25,2807
-47.24,2806
-47.23,2805
-47.22,2805
-47.21,2804
-47.2,2803
-47.19,2802
-47.18,2802
-47.17,2801
-47.16,2800
-47.15,2799
-47.14,2799
-47.13,2798
-47.12,2797
-47.11,2796
-47.1,2796
-47.09,2795
-47.08,2794
-47.07,2793
-47.06,2793
-47.05,2792
-47.04,2791
-47.03,2790
-47.02,2790
-47.01,2789
-47.0,2788
-46.99,2787
-46.98,2787
-46.97,2786
-46.96,2785
-46.95,2784
-46.94,2784
-46.93,2783
-46.92,2782
-46.91,2781
-46.9,2781
-46.89,2780
-46.88,2779
-46.87,2778
-46.86,2778
-46.85,2777
-46.84,2776
-46.83,2775
-46.82,2775
-46.81,2774
-46.8,2773
-46.79,2772
-46.78,2772
-46.77,2771
-46.76,2770
-46.75,2769
-46.74,2769
-46.73,2768
-46.72,2767
-46.71,2766
-46.7,2766
-46.69,2765
-46.68,2764
-46.67,2763
-46.66,2763
-46.65,2762
-46.64,2761
-46.63,2761
-46.62,2760
-46.61,2759
-46.6,2758
-46.59,2758
-46.58,2757
-46.57,2756
-46.56,2755
-46.55,2755
-46.54,2754
-46.53,2753
-46.52,2752
-46.51,2752
-46.5,2751
-46.49,2750
-46.48,2749
-46.47,2749
-46.46,2748
-46.45,2747
-46.44,2746
-46.43,2746
-46.42,2745
-46.41,2744
-46.4,2743
-46.39,2743
-46.38,2742
-46.37,2741
-46.36,2741
-46.35,2740
-46.34,2739
-46.33,2738
-46.32,2738
-46.31,2737
-46.3,2736
-46.29,2735
-46.28,2735
-46.27,2734
-46.26,2733
-46.25,2732
-46.24,2732
-46.23,2731
-46.22,2730
-46.21,2729
-46.2,2729
-46.19,2728
-46.18,2727
-46.17,2726
-46.16,2726
-46.15,2725
-46.14,2724
-46.13,2724
-46.12,2723
-46.11,2722
-46.1,2721
-46.09,2721
-46.08,2720
-46.07,2719
-46.06,2718
-46.05,2718
-46.04,2717
-46.03,2716
-46.02,2715
-46.01,2715
-46.0,2714
-45.99,2713
-45.98,2713
-45.97,2712
-45.96,2711
-45.95,2710
-45.94,2710
-45.93,2709
-45.92,2708
-45.91,2707
-45.9,2707
-45.89,2706
-45.88,2705
-45.87,2704
-45.86,2704
-45.85,2703
-45.84,2702
-45.83,2702
-45.82,2701
-45.81,2700
-45.8,2699
-45.79,2699
-45.78,2698
-45.77,2697
-45.76,2696
-45.75,2696
-45.74,2695
-45.73,2694
-45.72,2693
-45.71,2693
-45.7,2692
-45.69,2691
-45.68,2691
-45.67,2690
-45.66,2689
-45.65,2688
-45.64,2688
-45.63,2687
-45.62,2686
-45.61,2685
-45.6,2685
-45.59,2684
-45.58,2683
-45.57,2683
-45.56,2682
-45.55,2681
-45.54,2680
-45.53,2680
-45.52,2679
-45.51,2678
-45.5,2677
-45.49,2677
-45.48,2676
-45.47,2675
-45.46,2675
-45.45,2674
-45.44,2673
-45.43,2672
-45.42,2672
-45.41,2671
-45.4,2670
-45.39,2669
-45.38,2669
-45.37,2668
-45.36,2667
-45.35,2667
-45.34,2666
-45.33,2665
-45.32,2664
-45.31,2664
-45.3,2663
-45.29,2662
-45.28,2662
-45.27,2661
-45.26,2660
-45.25,2659
-45.24,2659
-45.23,2658
-45.22,2657
-45.21,2656
-45.2,2656
-45.19,2655
-45.18,2654
-45.17,2654
-45.16,2653
-45.15,2652
-45.14,2651
-45.13,2651
-45.12,2650
-45.11,2649
-45.1,2649
-45.09,2648
-45.08,2647
-45.07,2646
-45.06,2646
-45.05,2645
-45.04,2644
-45.03,2643
-45.02,2643
-45.01,2642
-45.0,2641
-44.99,2641
-44.98,2640
-44.97,2639
-44.96,2638
-44.95,2638
-44.94,2637
-44.93,2636
-44.92,2636
-44.91,2635
-44.9,2634
-44.89,2633
-44.88,2633
-44.87,2632
-44.86,2631
-44.85,2631
-44.84,2630
-44.83,2629
-44.82,2628
-44.81,2628
-44.8,2627
-44.79,2626
-44.78,2626
-44.77,2625
-44.76,2624
-44.75,2623
-44.74,2623
-44.73,2622
-44.72,2621
-44.71,2621
-44.7,2620
-44.69,2619
-44.68,2618
-44.67,2618
-44.66,2617
-44.65,2616
-44.64,2616
-44.63,2615
-44.62,2614
-44.61,2613
-44.6,2613
-44.59,2612
-44.58,2611
-44.57,2611
