TIME (SECONDS),PRESSURE (BARS),TEMPERATURE (KELVINS),ALTITUDE (KILOMETERS),FORWARD CHANNEL (DEGREES CELSIUS),BACKWARD CHANNEL (DEGREES CELSIUS),5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS),178 DEGREES (COUNTS)
-4.0,0.3943,125.85,20.28,5.41,5.01,438,369,474,595,883
-2.6,0.3981,126.15,20.11,5.22,4.8,439,369,474,595,882
0.4,0.4058,126.75,19.76,4.8,4.35,440,368,476,594,882
3.4,0.4136,127.45,19.42,4.38,3.9,442,368,478,594,881
6.4,0.4214,128.05,19.07,3.97,3.45,444,368,480,594,882
9.4,0.4292,128.75,18.73,3.56,3.01,445,368,482,594,882
12.4,0.437,129.35,18.39,3.15,2.56,447,368,485,594,883
15.4,0.4449,129.95,18.05,2.74,2.12,449,368,487,594,884
18.4,0.4527,130.55,17.72,2.34,1.69,452,368,490,594,885
21.4,0.4606,131.25,17.39,1.94,1.25,454,368,493,595,886
24.4,0.4685,131.85,17.06,1.54,0.82,456,368,496,595,888
26.0,0.4728,132.15,16.88,1.33,0.59,458,368,498,596,889
28.0,0.478,132.55,16.66,1.06,0.31,459,368,500,596,890
32.0,0.4886,133.35,16.23,0.54,-0.26,463,368,504,597,894
36.0,0.4992,134.25,15.8,0.02,-0.82,467,368,509,599,897
40.0,0.5098,135.05,15.38,-0.49,-1.38,471,368,514,600,901
44.0,0.5204,135.85,14.96,-1.0,-1.93,475,369,519,602,906
48.0,0.5311,136.65,14.55,-1.51,-2.48,479,369,525,604,911
52.0,0.5417,137.45,14.13,-2.01,-3.02,484,370,531,606,916
56.0,0.5525,138.15,13.73,-2.51,-3.56,489,370,537,608,922
60.0,0.5632,138.95,13.32,-3.0,-4.09,494,371,543,611,928
64.0,0.574,139.75,12.92,-3.49,-4.62,499,372,549,613,934
66.2,0.5798,140.15,12.71,-3.76,-4.91,502,372,553,615,938
68.7,0.5865,140.65,12.46,-4.06,-5.23,505,372,557,617,942
73.7,0.6001,141.65,11.97,-4.66,-5.88,512,373,566,620,951
78.7,0.6137,142.55,11.48,-5.25,-6.52,519,374,575,624,960
83.7,0.6273,143.55,11.0,-5.83,-7.15,526,375,584,629,970
88.7,0.641,144.45,10.52,-6.41,-7.78,534,377,593,633,981
93.7,0.6547,145.35,10.05,-6.98,-8.4,542,378,603,638,992
98.7,0.6685,146.35,9.586,-7.55,-9.01,550,379,613,643,1003
103.7,0.6824,147.25,9.124,-8.11,-9.61,558,381,624,648,1015
108.7,0.6963,148.15,8.666,-8.66,-10.21,567,382,634,653,1027
113.7,0.7102,149.05,8.213,-9.21,-10.8,575,383,645,659,1039
116.3,0.7176,149.55,7.974,-9.49,-11.11,580,384,651,662,1046
119.3,0.726,150.05,7.706,-9.81,-11.46,585,385,658,665,1054
125.3,0.7429,151.15,7.174,-10.45,-12.15,596,387,671,672,1070
131.3,0.7598,152.25,6.647,-11.08,-12.83,607,389,685,680,1086
137.3,0.7769,153.25,6.127,-11.7,-13.5,619,391,699,687,1103
143.3,0.794,154.35,5.612,-12.31,-14.16,630,393,714,695,1121
149.3,0.8111,155.35,5.102,-12.91,-14.81,642,396,729,703,1138
155.3,0.8284,156.35,4.597,-13.5,-15.45,654,398,743,711,1156
161.3,0.8457,157.45,4.098,-14.09,-16.08,666,400,759,720,1174
167.3,0.8632,158.45,3.603,-14.66,-16.7,678,403,774,728,1193
173.3,0.8807,159.45,3.113,-15.23,-17.31,690,405,789,737,1212
176.5,0.89,159.95,2.855,-15.52,-17.64,697,406,798,742,1222
180.0,0.9003,160.55,2.572,-15.85,-17.98,704,408,807,747,1233
187.0,0.9209,161.75,2.012,-16.48,-18.67,719,411,825,757,1256
194.0,0.9417,162.85,1.458,-17.11,-19.35,734,414,844,768,1279
201.0,0.9625,164.05,0.9094,-17.72,-20.02,748,417,863,779,1302
208.0,0.9835,165.15,0.3663,-18.33,-20.67,764,420,882,790,1325
215.0,1.005,166.25,-0.1716,-18.92,-21.31,779,423,901,801,1349
222.0,1.026,167.35,-0.7045,-19.5,-21.93,794,427,920,812,1372
229.0,1.047,168.55,-1.232,-20.06,-22.55,809,430,939,823,1396
236.0,1.069,169.55,-1.756,-20.62,-23.15,824,433,958,835,1419
243.0,1.09,170.65,-2.274,-21.16,-23.74,839,436,977,846,1443
246.7,1.102,171.25,-2.546,-21.45,-24.05,848,438,988,852,1456
250.7,1.114,171.85,-2.839,-21.75,-24.37,856,440,998,858,1469
258.7,1.139,173.15,-3.421,-22.35,-25.02,874,444,1020,872,1497
266.7,1.164,174.32,-3.998,-22.93,-25.65,891,447,1042,885,1524
274.7,1.19,175.53,-4.569,-23.49,-26.26,908,451,1064,898,1551
282.7,1.215,176.72,-5.136,-24.04,-26.86,925,455,1085,910,1577
290.7,1.241,177.91,-5.698,-24.58,-27.44,943,459,1107,923,1604
298.7,1.267,179.09,-6.255,-25.1,-28.01,959,463,1128,936,1631
306.7,1.293,180.26,-6.807,-25.61,-28.56,976,466,1149,949,1657
314.7,1.319,181.42,-7.356,-26.11,-29.1,993,470,1170,962,1683
322.7,1.345,182.57,-7.9,-26.59,-29.62,1009,474,1191,974,1708
326.9,1.359,183.17,-8.185,-26.84,-29.89,1018,476,1202,981,1722
331.4,1.374,183.82,-8.489,-27.1,-30.17,1027,478,1213,988,1736
340.4,1.404,185.09,-9.092,-27.61,-30.73,1045,482,1236,1002,1764
349.4,1.434,186.36,-9.69,-28.1,-31.26,1062,486,1258,1015,1791
358.4,1.465,187.61,-10.28,-28.57,-31.78,1079,489,1279,1028,1818
367.4,1.496,188.86,-10.87,-29.03,-32.28,1096,493,1300,1041,1845
376.4,1.527,190.1,-11.46,-29.47,-32.76,1113,497,1321,1054,1871
385.4,1.558,191.32,-12.04,-29.9,-33.22,1129,501,1342,1067,1896
394.4,1.589,192.54,-12.62,-30.31,-33.67,1145,504,1361,1079,1920
403.4,1.621,193.75,-13.19,-30.7,-34.1,1160,508,1380,1090,1944
412.4,1.653,194.95,-13.76,-31.08,-34.51,1175,511,1399,1102,1967
417.2,1.669,195.58,-14.06,-31.27,-34.72,1182,513,1409,1108,1979
422.2,1.687,196.24,-14.38,-31.47,-34.94,1190,515,1419,1114,1992
432.2,1.723,197.55,-15.0,-31.85,-35.36,1205,518,1438,1126,2016
442.2,1.759,198.86,-15.62,-32.21,-35.76,1220,522,1456,1137,2039
452.2,1.796,200.15,-16.24,-32.56,-36.13,1234,525,1474,1149,2061
462.2,1.833,201.43,-16.85,-32.88,-36.49,1248,528,1491,1159,2082
472.2,1.87,202.71,-17.46,-33.19,-36.83,1261,531,1507,1169,2102
482.2,1.907,203.98,-18.07,-33.47,-37.15,1272,534,1522,1178,2122
492.2,1.944,205.23,-18.68,-33.74,-37.45,1284,536,1537,1187,2140
502.2,1.982,206.48,-19.28,-33.99,-37.73,1294,539,1550,1196,2157
512.2,2.02,207.72,-19.87,-34.23,-37.99,1305,541,1563,1204,2173
517.4,2.04,208.37,-20.18,-34.34,-38.12,1310,542,1569,1208,2181
522.9,2.062,209.04,-20.51,-34.46,-38.25,1315,544,1576,1212,2189
533.9,2.104,210.39,-21.16,-34.67,-38.49,1324,546,1587,1219,2204
544.9,2.147,211.72,-21.81,-34.87,-38.71,1333,548,1598,1226,2218
555.9,2.19,213.05,-22.45,-35.04,-38.91,1340,550,1608,1232,2230
566.9,2.234,214.36,-23.09,-35.19,-39.09,1347,551,1616,1237,2242
577.9,2.278,215.67,-23.72,-35.33,-39.25,1353,553,1624,1242,2252
588.9,2.322,216.96,-24.35,-35.44,-39.39,1358,554,1630,1246,2261
599.9,2.367,218.25,-24.98,-35.53,-39.5,1362,555,1635,1249,2268
610.9,2.411,219.53,-25.61,-35.61,-39.6,1365,555,1640,1252,2274
621.9,2.457,220.8,-26.23,-35.66,-39.68,1368,556,1642,1253,2279
627.7,2.48,221.47,-26.55,-35.68,-39.71,1369,556,1644,1254,2281
633.7,2.505,222.15,-26.89,-35.7,-39.73,1370,556,1645,1255,2283
645.7,2.555,223.52,-27.56,-35.72,-39.77,1370,557,1646,1255,2285
657.7,2.606,224.88,-28.23,-35.71,-39.79,1370,557,1645,1255,2286
669.7,2.656,226.23,-28.89,-35.68,-39.78,1369,556,1644,1254,2286
681.7,2.707,227.56,-29.55,-35.64,-39.75,1367,556,1641,1253,2284
693.7,2.759,228.89,-30.21,-35.57,-39.69,1364,555,1637,1250,2280
705.7,2.811,230.21,-30.86,-35.48,-39.62,1360,554,1632,1247,2276
717.7,2.863,231.53,-31.51,-35.37,-39.52,1355,553,1626,1243,2269
729.7,2.915,232.83,-32.15,-35.24,-39.41,1349,552,1619,1239,2262
741.7,2.968,234.12,-32.79,-35.09,-39.27,1342,550,1610,1233,2253
