TIME (SECONDS),PRESSURE (BARS),TEMPERATURE (KELVINS),ALTITUDE (KILOMETERS),FORWARD CHANNEL (DEGREES CELSIUS),BACKWARD CHANNEL (DEGREES CELSIUS)
-4.0,0.3943,125.85,20.28,5.41,5.01
-2.6,0.3981,126.15,20.11,5.22,4.8
0.4,0.4058,126.75,19.76,4.8,4.35
3.4,0.4136,127.45,19.42,4.38,3.9
6.4,0.4214,128.05,19.07,3.97,3.45
9.4,0.4292,128.75,18.73,3.56,3.01
12.4,0.437,129.35,18.39,3.15,2.56
15.4,0.4449,129.95,18.05,2.74,2.12
18.4,0.4527,130.55,17.72,2.34,1.69
21.4,0.4606,131.25,17.39,1.94,1.25
24.4,0.4685,131.85,17.06,1.54,0.82
26.0,0.4728,132.15,16.88,1.33,0.59
28.0,0.478,132.55,16.66,1.06,0.31
32.0,0.4886,133.35,16.23,0.54,-0.26
36.0,0.4992,134.25,15.8,0.02,-0.82
40.0,0.5098,135.05,15.38,-0.49,-1.38
44.0,0.5204,135.85,14.96,-1.0,-1.93
48.0,0.5311,136.65,14.55,-1.51,-2.48
52.0,0.5417,137.45,14.13,-2.01,-3.02
56.0,0.5525,138.15,13.73,-2.51,-3.56
60.0,0.5632,138.95,13.32,-3.0,-4.09
64.0,0.574,139.75,12.92,-3.49,-4.62
66.2,0.5798,140.15,12.71,-3.76,-4.91
68.7,0.5865,140.65,12.46,-4.06,-5.23
73.7,0.6001,141.65,11.97,-4.66,-5.88
78.7,0.6137,142.55,11.48,-5.25,-6.52
83.7,0.6273,143.55,11.0,-5.83,-7.15
88.7,0.641,144.45,10.52,-6.41,-7.78
93.7,0.6547,145.35,10.05,-6.98,-8.4
98.7,0.6685,146.35,9.586,-7.55,-9.01
103.7,0.6824,147.25,9.124,-8.11,-9.61
108.7,0.6963,148.15,8.666,-8.66,-10.21
113.7,0.7102,149.05,8.213,-9.21,-10.8
116.3,0.7176,149.55,7.974,-9.49,-11.11
119.3,0.726,150.05,7.706,-9.81,-11.46
125.3,0.7429,151.15,7.174,-10.45,-12.15
131.3,0.7598,152.25,6.647,-11.08,-12.83
137.3,0.7769,153.25,6.127,-11.7,-13.5
143.3,0.794,154.35,5.612,-12.31,-14.16
149.3,0.8111,155.35,5.102,-12.91,-14.81
155.3,0.8284,156.35,4.597,-13.5,-15.45
161.3,0.8457,157.45,4.098,-14.09,-16.08
167.3,0.8632,158.45,3.603,-14.66,-16.7
173.3,0.8807,159.45,3.113,-15.23,-17.31
176.5,0.89,159.95,2.855,-15.52,-17.64
180.0,0.9003,160.55,2.572,-15.85,-17.98
187.0,0.9209,161.75,2.012,-16.48,-18.67
194.0,0.9417,162.85,1.458,-17.11,-19.35
201.0,0.9625,164.05,0.9094,-17.72,-20.02
208.0,0.9835,165.15,0.3663,-18.33,-20.67
215.0,1.005,166.25,-0.1716,-18.92,-21.31
222.0,1.026,167.35,-0.7045,-19.5,-21.93
229.0,1.047,168.55,-1.232,-20.06,-22.55
236.0,1.069,169.55,-1.756,-20.62,-23.15
243.0,1.09,170.65,-2.274,-21.16,-23.74
246.7,1.102,171.25,-2.546,-21.45,-24.05
250.7,1.114,171.85,-2.839,-21.75,-24.37
258.7,1.139,173.15,-3.421,-22.35,-25.02
266.7,1.164,174.32,-3.998,-22.93,-25.65
274.7,1.19,175.53,-4.569,-23.49,-26.26
282.7,1.215,176.72,-5.136,-24.04,-26.86
290.7,1.241,177.91,-5.698,-24.58,-27.44
298.7,1.267,179.09,-6.255,-25.1,-28.01
306.7,1.293,180.26,-6.807,-25.61,-28.56
314.7,1.319,181.42,-7.356,-26.11,-29.1
322.7,1.345,182.57,-7.9,-26.59,-29.62
326.9,1.359,183.17,-8.185,-26.84,-29.89
331.4,1.374,183.82,-8.489,-27.1,-30.17
340.4,1.404,185.09,-9.092,-27.61,-30.73
349.4,1.434,186.36,-9.69,-28.1,-31.26
358.4,1.465,187.61,-10.28,-28.57,-31.78
367.4,1.496,188.86,-10.87,-29.03,-32.28
376.4,1.527,190.1,-11.46,-29.47,-32.76
385.4,1.558,191.32,-12.04,-29.9,-33.22
394.4,1.589,192.54,-12.62,-30.31,-33.67
403.4,1.621,193.75,-13.19,-30.7,-34.1
412.4,1.653,194.95,-13.76,-31.08,-34.51
417.2,1.669,195.58,-14.06,-31.27,-34.72
422.2,1.687,196.24,-14.38,-31.47,-34.94
432.2,1.723,197.55,-15.0,-31.85,-35.36
442.2,1.759,198.86,-15.62,-32.21,-35.76
452.2,1.796,200.15,-16.24,-32.56,-36.13
462.2,1.833,201.43,-16.85,-32.88,-36.49
472.2,1.87,202.71,-17.46,-33.19,-36.83
482.2,1.907,203.98,-18.07,-33.47,-37.15
492.2,1.944,205.23,-18.68,-33.74,-37.45
502.2,1.982,206.48,-19.28,-33.99,-37.73
512.2,2.02,207.72,-19.87,-34.23,-37.99
517.4,2.04,208.37,-20.18,-34.34,-38.12
522.9,2.062,209.04,-20.51,-34.46,-38.25
533.9,2.104,210.39,-21.16,-34.67,-38.49
544.9,2.147,211.72,-21.81,-34.87,-38.71
555.9,2.19,213.05,-22.45,-35.04,-38.91
566.9,2.234,214.36,-23.09,-35.19,-39.09
577.9,2.278,215.67,-23.72,-35.33,-39.25
588.9,2.322,216.96,-24.35,-35.44,-39.39
599.9,2.367,218.25,-24.98,-35.53,-39.5
610.9,2.411,219.53,-25.61,-35.61,-39.6
621.9,2.457,220.8,-26.23,-35.66,-39.68
627.7,2.48,221.47,-26.55,-35.68,-39.71
633.7,2.505,222.15,-26.89,-35.7,-39.73
645.7,2.555,223.52,-27.56,-35.72,-39.77
657.7,2.606,224.88,-28.23,-35.71,-39.79
669.7,2.656,226.23,-28.89,-35.68,-39.78
681.7,2.707,227.56,-29.55,-35.64,-39.75
693.7,2.759,228.89,-30.21,-35.57,-39.69
705.7,2.811,230.21,-30.86,-35.48,-39.62
717.7,2.863,231.53,-31.51,-35.37,-39.52
729.7,2.915,232.83,-32.15,-35.24,-39.41
741.7,2.968,234.12,-32.79,-35.09,-39.27
747.9,2.996,234.79,-33.13,-35.0,-39.19
751.9,3.014,235.22,-33.34,-34.94,-39.14
