TIME (SECONDS),PRESSURE (BARS),TEMPERATURE (KELVINS),ALTITUDE (KILOMETERS)
-4.0,0.3943,125.85,20.28
-2.6,0.3981,126.15,20.11
0.4,0.4058,126.75,19.76
3.4,0.4136,127.45,19.42
6.4,0.4214,128.05,19.07
9.4,0.4292,128.75,18.73
12.4,0.437,129.35,18.39
15.4,0.4449,129.95,18.05
18.4,0.4527,130.55,17.72
21.4,0.4606,131.25,17.39
24.4,0.4685,131.85,17.06
26.0,0.4728,132.15,16.88
28.0,0.478,132.55,16.66
32.0,0.4886,133.35,16.23
36.0,0.4992,134.25,15.8
40.0,0.5098,135.05,15.38
44.0,0.5204,135.85,14.96
48.0,0.5311,136.65,14.55
52.0,0.5417,137.45,14.13
56.0,0.5525,138.15,13.73
60.0,0.5632,138.95,13.32
64.0,0.574,139.75,12.92
66.2,0.5798,140.15,12.71
68.7,0.5865,140.65,12.46
73.7,0.6001,141.65,11.97
78.7,0.6137,142.55,11.48
83.7,0.6273,143.55,11.0
88.7,0.641,144.45,10.52
93.7,0.6547,145.35,10.05
98.7,0.6685,146.35,9.586
103.7,0.6824,147.25,9.124
108.7,0.6963,148.15,8.666
113.7,0.7102,149.05,8.213
116.3,0.7176,149.55,7.974
119.3,0.726,150.05,7.706
125.3,0.7429,151.15,7.174
131.3,0.7598,152.25,6.647
137.3,0.7769,153.25,6.127
143.3,0.794,154.35,5.612
149.3,0.8111,155.35,5.102
155.3,0.8284,156.35,4.597
161.3,0.8457,157.45,4.098
167.3,0.8632,158.45,3.603
173.3,0.8807,159.45,3.113
176.5,0.89,159.95,2.855
180.0,0.9003,160.55,2.572
187.0,0.9209,161.75,2.012
194.0,0.9417,162.85,1.458
201.0,0.9625,164.05,0.9094
208.0,0.9835,165.15,0.3663
215.0,1.005,166.25,-0.1716
222.0,1.026,167.35,-0.7045
229.0,1.047,168.55,-1.232
236.0,1.069,169.55,-1.756
243.0,1.09,170.65,-2.274
246.7,1.102,171.25,-2.546
250.7,1.114,171.85,-2.839
258.7,1.139,173.15,-3.421
266.7,1.164,174.32,-3.998
274.7,1.19,175.53,-4.569
282.7,1.215,176.72,-5.136
290.7,1.241,177.91,-5.698
298.7,1.267,179.09,-6.255
306.7,1.293,180.26,-6.807
314.7,1.319,181.42,-7.356
322.7,1.345,182.57,-7.9
326.9,1.359,183.17,-8.185
331.4,1.374,183.82,-8.489
340.4,1.404,185.09,-9.092
349.4,1.434,186.36,-9.69
358.4,1.465,187.61,-10.28
367.4,1.496,188.86,-10.87
376.4,1.527,190.10,-11.46
385.4,1.558,191.32,-12.04
394.4,1.589,192.54,-12.62
403.4,1.621,193.75,-13.19
412.4,1.653,194.95,-13.76
417.2,1.669,195.58,-14.06
422.2,1.687,196.24,-14.38
432.2,1.723,197.55,-15.0
442.2,1.759,198.86,-15.62
452.2,1.796,200.15,-16.24
462.2,1.833,201.43,-16.85
472.2,1.87,202.71,-17.46
482.2,1.907,203.98,-18.07
492.2,1.944,205.23,-18.68
502.2,1.982,206.48,-19.28
512.2,2.02,207.72,-19.87
517.4,2.04,208.37,-20.18
522.9,2.062,209.04,-20.51
