TIME (SECONDS),PRESSURE (BARS),5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS),178 DEGREES (COUNTS)
-2.6,0.3981,1472,2240,3008,4352,-22530
0.4,0.4058,928,1152,1600,2176,-31740
3.4,0.4136,400,256,592,656,24580
6.4,0.4214,368,212,544,592,25600
9.4,0.4292,416,288,448,464,11010
12.4,0.437,432,272,160,120,1088
15.4,0.4449,352,224,156,116,864
18.4,0.4527,320,208,156,112,800
21.4,0.4606,336,216,144,104,832
24.4,0.4685,320,200,148,104,752
28.0,0.478,304,200,144,100,688
32.0,0.4886,304,192,132,104,672
36.0,0.4992,256,164,132,100,464
40.0,0.5098,244,164,140,100,400
44.0,0.5204,248,160,144,100,416
48.0,0.5311,288,180,148,104,592
52.0,0.5417,256,164,140,100,448
56.0,0.5525,272,168,144,104,480
60.0,0.5632,320,184,152,112,624
64.0,0.574,304,184,152,116,496
68.7,0.5865,304,188,152,108,464
73.7,0.6001,288,196,156,112,368
78.7,0.6137,272,208,156,116,288
83.7,0.6273,272,216,164,116,256
88.7,0.641,304,232,164,120,288
93.7,0.6547,304,236,172,112,272
98.7,0.6685,320,256,172,124,256
103.7,0.6824,336,256,176,128,272
108.7,0.6963,336,256,180,132,256
113.7,0.7102,352,256,176,124,256
119.3,0.726,384,272,184,136,304
125.3,0.7429,432,288,184,128,336
131.3,0.7598,432,288,188,128,400
137.3,0.7769,448,288,200,132,432
143.3,0.794,544,320,196,132,432
149.3,0.8111,512,288,192,132,480
155.3,0.8284,512,288,192,132,496
161.3,0.8457,512,288,196,124,544
167.3,0.8632,544,304,196,124,544
173.3,0.8807,560,304,200,120,608
180.0,0.9003,560,304,200,120,608
187.0,0.9209,544,288,196,124,608
194.0,0.9417,560,272,204,116,592
201.0,0.9625,576,288,200,108,656
208.0,0.9835,640,304,204,100,752
215.0,1.005,608,304,196,96,704
222.0,1.026,864,416,220,96,1024
229.0,1.047,960,448,224,88,1152
236.0,1.069,1024,464,220,80,1280
243.0,1.09,1088,448,224,80,1408
250.7,1.114,1088,416,216,76,1344
258.7,1.139,1024,432,220,64,1344
266.7,1.164,1280,528,232,64,1600
274.7,1.19,1536,688,228,49,1856
282.7,1.215,1664,736,256,56,2432
