TIME (SECONDS),PRESSURE (BARS),5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS),178 DEGREES (COUNTS)
-2.6,0.3981,1033,1871,2534,3757,-23412
0.4,0.4058,488,784,1124,1582,-32622
3.4,0.4136,-42,-112,114,62,23699
6.4,0.4214,-76,-156,64,-2,24718
9.4,0.4292,-29,-80,-34,-130,10128
12.4,0.437,-15,-96,-325,-474,205
15.4,0.4449,-97,-144,-331,-478,-20
18.4,0.4527,-132,-160,-334,-482,-85
21.4,0.4606,-118,-152,-349,-491,-54
24.4,0.4685,-136,-168,-348,-491,-136
28.0,0.478,-155,-168,-356,-496,-202
32.0,0.4886,-159,-176,-372,-493,-222
36.0,0.4992,-211,-204,-377,-499,-433
40.0,0.5098,-227,-204,-374,-500,-501
44.0,0.5204,-227,-209,-375,-502,-490
48.0,0.5311,-191,-189,-377,-500,-319
52.0,0.5417,-228,-206,-391,-506,-468
56.0,0.5525,-217,-202,-393,-504,-442
60.0,0.5632,-174,-187,-391,-499,-304
64.0,0.574,-195,-188,-397,-497,-438
68.7,0.5865,-201,-184,-405,-509,-478
73.7,0.6001,-224,-177,-410,-508,-583
78.7,0.6137,-247,-166,-419,-508,-672
83.7,0.6273,-254,-159,-420,-513,-714
88.7,0.641,-230,-145,-429,-513,-693
93.7,0.6547,-238,-142,-431,-526,-720
98.7,0.6685,-230,-123,-441,-519,-747
103.7,0.6824,-222,-125,-448,-520,-743
108.7,0.6963,-231,-126,-454,-521,-771
113.7,0.7102,-223,-127,-469,-535,-783
119.3,0.726,-201,-113,-474,-529,-750
125.3,0.7429,-164,-99,-487,-544,-734
131.3,0.7598,-175,-101,-497,-552,-686
137.3,0.7769,-171,-103,-499,-555,-671
143.3,0.794,-86,-73,-518,-563,-689
149.3,0.8111,-130,-108,-537,-571,-658
155.3,0.8284,-142,-110,-551,-579,-660
161.3,0.8457,-154,-112,-563,-596,-630
167.3,0.8632,-134,-99,-578,-604,-649
173.3,0.8807,-130,-101,-589,-617,-604
180.0,0.9003,-144,-104,-607,-627,-625
187.0,0.9209,-175,-123,-629,-633,-648
194.0,0.9417,-174,-142,-640,-652,-687
201.0,0.9625,-172,-129,-663,-671,-646
208.0,0.9835,-124,-116,-678,-690,-573
215.0,1.005,-171,-119,-705,-705,-645
222.0,1.026,70,-11,-700,-716,-348
229.0,1.047,151,18,-715,-735,-244
236.0,1.069,200,31,-738,-755,-139
243.0,1.09,249,12,-753,-766,-35
250.7,1.114,232,-24,-782,-782,-125
258.7,1.139,150,-12,-800,-808,-153
266.7,1.164,389,81,-810,-821,76
274.7,1.19,628,237,-836,-849,305
282.7,1.215,739,281,-829,-854,855
290.7,1.241,785,245,-835,-875,828
298.7,1.267,577,273,-888,-894,353
306.7,1.293,-96,46,-953,-907,-681
314.7,1.319,-449,-70,-978,-926,-1043
322.7,1.345,-805,-346,-1043,-939,-1548
331.4,1.374,-819,-354,-1065,-956,-1556
