TIME (SECONDS),PRESSURE (BARS),5.8 DEGREES (COUNTS),16 DEGREES (COUNTS),40 DEGREES (COUNTS),70 DEGREES (COUNTS),178 DEGREES (COUNTS)
-2.6,0.3981,3.35308,6.07046,6.34599,7.31429,-25.54422
0.4,0.4058,2.10909,3.13043,3.36134,3.6633,-35.98639
3.4,0.4136,0.90498,0.69565,1.23849,1.10438,27.90011
6.4,0.4214,0.82883,0.57609,1.13333,0.99663,29.02494
9.4,0.4292,0.93483,0.78261,0.92946,0.78114,12.48299
12.4,0.437,0.96644,0.73913,0.3299,0.20202,1.23216
15.4,0.4449,0.78396,0.6087,0.32033,0.19529,0.97738
18.4,0.4527,0.70796,0.56522,0.31837,0.18855,0.90395
21.4,0.4606,0.74009,0.58696,0.29209,0.17479,0.93905
24.4,0.4685,0.70175,0.54348,0.29839,0.17479,0.84685
28.0,0.478,0.66231,0.54348,0.288,0.16779,0.77303
32.0,0.4886,0.65659,0.52174,0.2619,0.1742,0.75168
36.0,0.4992,0.54818,0.44565,0.25933,0.16694,0.51728
40.0,0.5098,0.51805,0.44565,0.27237,0.16667,0.44395
44.0,0.5204,0.52211,0.4336,0.27746,0.16611,0.45916
48.0,0.5311,0.60125,0.4878,0.2819,0.17219,0.64984
52.0,0.5417,0.52893,0.44324,0.26365,0.16502,0.48908
56.0,0.5525,0.55624,0.45405,0.26816,0.17105,0.52061
60.0,0.5632,0.64777,0.49596,0.27993,0.18331,0.67241
64.0,0.574,0.60922,0.49462,0.27687,0.18923,0.53105
68.7,0.5865,0.60198,0.50538,0.27289,0.17504,0.49257
73.7,0.6001,0.5625,0.52547,0.27562,0.18065,0.38696
78.7,0.6137,0.52408,0.55615,0.2713,0.1859,0.3
83.7,0.6273,0.51711,0.576,0.28082,0.18442,0.26392
88.7,0.641,0.56929,0.61538,0.27656,0.18957,0.29358
93.7,0.6547,0.56089,0.62434,0.28524,0.17555,0.27419
98.7,0.6685,0.58182,0.67546,0.28059,0.19285,0.25523
103.7,0.6824,0.60215,0.67192,0.28205,0.19753,0.26798
108.7,0.6963,0.59259,0.67016,0.28391,0.20214,0.24927
113.7,0.7102,0.61217,0.66841,0.27287,0.18816,0.24639
119.3,0.726,0.65641,0.70649,0.27964,0.20451,0.28843
125.3,0.7429,0.72483,0.74419,0.27422,0.19048,0.31402
131.3,0.7598,0.7117,0.74036,0.27445,0.18824,0.36832
137.3,0.7769,0.72375,0.73657,0.28612,0.19214,0.39166
143.3,0.794,0.86349,0.81425,0.27451,0.18993,0.38537
149.3,0.8111,0.79751,0.72727,0.26337,0.18777,0.42179
155.3,0.8284,0.78287,0.72362,0.25841,0.18565,0.42907
161.3,0.8457,0.76877,0.72,0.25823,0.17222,0.46337
167.3,0.8632,0.80236,0.75434,0.25323,0.17033,0.45599
173.3,0.8807,0.81159,0.75062,0.25349,0.16282,0.50165
180.0,0.9003,0.79545,0.7451,0.24783,0.16064,0.49311
187.0,0.9209,0.75661,0.70073,0.23758,0.1638,0.48408
194.0,0.9417,0.76294,0.657,0.24171,0.15104,0.46286
201.0,0.9625,0.77005,0.69065,0.23175,0.13864,0.50384
208.0,0.9835,0.8377,0.72381,0.23129,0.12658,0.56755
215.0,1.005,0.78049,0.71868,0.21754,0.11985,0.52187
222.0,1.026,1.08816,0.97424,0.23913,0.11823,0.74636
229.0,1.047,1.18665,1.04186,0.23855,0.10693,0.82521
236.0,1.069,1.24272,1.07159,0.22965,0.09581,0.90204
243.0,1.09,1.29678,1.02752,0.22927,0.09456,0.97574
250.7,1.114,1.27103,0.94545,0.21643,0.08858,0.91491
258.7,1.139,1.17162,0.97297,0.21569,0.07339,0.8978
266.7,1.164,1.43659,1.18121,0.22265,0.07232,1.04987
274.7,1.19,1.69163,1.5255,0.21429,0.05457,1.19665
282.7,1.215,1.79892,1.61758,0.23594,0.06154,1.54217
290.7,1.241,1.83245,1.53377,0.24571,0.052,1.51621
298.7,1.267,1.60167,1.58963,0.21277,0.04487,1.21643
306.7,1.293,0.90164,1.09871,0.17058,0.04426,0.58902
314.7,1.319,0.54783,0.85106,0.1641,0.03742,0.38027
322.7,1.345,0.20218,0.27004,0.12427,0.03593,0.09368
331.4,1.374,0.20253,0.25941,0.12201,0.03239,0.10369
340.4,1.404,0.21818,0.28216,0.1165,0.03094,0.1542
