TIME (SECONDS),PRESSURE (BARS),M5.8 CROSS SECTION (METER^-1 STERADIAN^-1),M16 CROSS SECTION (METER^-1 STERADIAN^-1),M40 CROSS SECTION (METER^-1 STERADIAN^-1),M70 CROSS SECTION (METER^-1 STERADIAN^-1),M178 CROSS SECTION (METER^-1 STERADIAN^-1)
-2.6,0.3981,0.000767,0.0005797,0.0002635,0.0004248,-0.0001451
0.4,0.4058,0.0004192,0.000271,0.0001294,0.0002024,-0.0002044
3.4,0.4136,8.177e-05,1.7e-05,3.348e-05,4.701e-05,0.0001565
6.4,0.4214,6.131e-05,4.53e-06,2.89e-05,4.046e-05,0.0001633
9.4,0.4292,9.192e-05,2.603e-05,1.976e-05,2.738e-05,6.962e-05
12.4,0.437,0.0001021,2.148e-05,-7.597e-06,-7.764e-06,5.82e-06
15.4,0.4449,5.102e-05,7.906e-06,-7.971e-06,-8.171e-06,4.38e-06
18.4,0.4527,3.06e-05,3.385e-06,-7.965e-06,-8.578e-06,3.969e-06
21.4,0.4606,4.078e-05,5.635e-06,-9.096e-06,-9.394e-06,4.176e-06
24.4,0.4685,3.056e-05,1.126e-06,-8.709e-06,-9.393e-06,3.659e-06
28.0,0.478,2.036e-05,1.124e-06,-9.078e-06,-9.8e-06,3.245e-06
32.0,0.4886,2.034e-05,-1.122e-06,-1.02e-05,-9.39e-06,3.139e-06
36.0,0.4992,-1.016e-05,-8.958e-06,-1.019e-05,-9.797e-06,1.798e-06
40.0,0.5098,-1.777e-05,-8.94e-06,-9.419e-06,-9.797e-06,1.384e-06
44.0,0.5204,-1.522e-05,-1.004e-05,-9.029e-06,-9.796e-06,1.483e-06
48.0,0.5311,1.014e-05,-4.452e-06,-8.639e-06,-9.388e-06,2.602e-06
52.0,0.5417,-1.013e-05,-8.884e-06,-9.376e-06,-9.797e-06,1.678e-06
56.0,0.5525,0.0,-7.756e-06,-8.987e-06,-9.39e-06,1.875e-06
60.0,0.5632,3.034e-05,-3.317e-06,-8.225e-06,-8.575e-06,2.777e-06
64.0,0.574,2.021e-05,-3.309e-06,-8.211e-06,-8.169e-06,1.961e-06
68.7,0.5865,2.019e-05,-2.201e-06,-8.196e-06,-8.99e-06,1.752e-06
73.7,0.6001,1.009e-05,0.0,-7.807e-06,-8.587e-06,1.145e-06
78.7,0.6137,0.0,3.283e-06,-7.791e-06,-8.185e-06,6.431e-07
83.7,0.6273,0.0,5.457e-06,-7.035e-06,-8.194e-06,4.425e-07
88.7,0.641,2.015e-05,9.797e-06,-7.021e-06,-7.793e-06,6.351e-07
93.7,0.6547,2.014e-05,1.086e-05,-6.27e-06,-8.626e-06,5.34e-07
98.7,0.6685,3.021e-05,1.625e-05,-6.259e-06,-7.406e-06,4.34e-07
103.7,0.6824,4.028e-05,1.621e-05,-5.88e-06,-7.008e-06,5.27e-07
108.7,0.6963,4.03e-05,1.618e-05,-5.503e-06,-6.61e-06,4.283e-07
113.7,0.7102,5.039e-05,1.615e-05,-5.86e-06,-7.454e-06,4.256e-07
119.3,0.726,7.061e-05,2.042e-05,-5.119e-06,-6.231e-06,7.042e-07
125.3,0.7429,0.000101,2.467e-05,-5.111e-06,-7.087e-06,8.853e-07
131.3,0.7598,0.0001011,2.463e-05,-4.738e-06,-7.115e-06,1.249e-06
137.3,0.7769,0.0001114,2.46e-05,-3.64e-06,-6.726e-06,1.424e-06
143.3,0.794,0.0001726,3.314e-05,-4e-06,-6.759e-06,1.415e-06
149.3,0.8111,0.0001526,2.457e-05,-4.359e-06,-6.794e-06,1.679e-06
155.3,0.8284,0.000153,2.457e-05,-4.355e-06,-6.832e-06,1.76e-06
161.3,0.8457,0.0001535,2.457e-05,-3.99e-06,-7.732e-06,2.02e-06
167.3,0.8632,0.0001745,2.886e-05,-3.988e-06,-7.781e-06,2.011e-06
173.3,0.8807,0.0001854,2.889e-05,-3.625e-06,-8.269e-06,2.36e-06
180.0,0.9003,0.0001862,2.893e-05,-3.624e-06,-8.334e-06,2.351e-06
187.0,0.9209,0.0001767,2.469e-05,-3.987e-06,-7.964e-06,2.343e-06
194.0,0.9417,0.000188,2.044e-05,-3.263e-06,-8.929e-06,2.25e-06
201.0,0.9625,0.0001994,2.481e-05,-3.628e-06,-9.915e-06,2.598e-06
208.0,0.9835,0.0002426,2.922e-05,-3.267e-06,-1.092e-05,3.124e-06
215.0,1.005,0.0002227,2.933e-05,-3.996e-06,-1.149e-05,2.86e-06
222.0,1.026,0.0003946,5.997e-05,-1.818e-06,-1.161e-05,4.621e-06
229.0,1.047,0.0004611,6.898e-05,-1.456e-06,-1.267e-05,5.331e-06
236.0,1.069,0.0005067,7.369e-05,-1.822e-06,-1.375e-05,6.045e-06
243.0,1.09,0.0005528,6.962e-05,-1.459e-06,-1.389e-05,6.764e-06
250.7,1.114,0.0005559,6.112e-05,-2.192e-06,-1.454e-05,6.427e-06
258.7,1.139,0.0005153,6.595e-05,-1.829e-06,-1.618e-05,6.448e-06
266.7,1.164,0.0006982,9.335e-05,-7.326e-07,-1.637e-05,7.898e-06
274.7,1.19,0.0008861,0.0001392,-1.1e-06,-1.844e-05,9.361e-06
282.7,1.215,0.0009763,0.0001538,1.469e-06,-1.776e-05,1.263e-05
290.7,1.241,0.001021,0.0001456,2.942e-06,-1.899e-05,1.268e-05
298.7,1.267,0.0008865,0.0001558,0.0,-1.997e-05,1.02e-05
306.7,1.293,0.0004264,9.175e-05,-4.055e-06,-2.018e-05,4.505e-06
314.7,1.319,0.0001908,5.962e-05,-4.428e-06,-2.118e-05,2.604e-06
322.7,1.345,-4.769e-05,-1.988e-05,-8.518e-06,-2.152e-05,-1.376e-07
331.4,1.374,-4.489e-05,-2.108e-05,-8.556e-06,-2.215e-05,-2.302e-08
340.4,1.404,-3.086e-05,-1.755e-05,-8.972e-06,-2.251e-05,5.084e-07
349.4,1.434,-4.208e-05,-2.1e-05,-8.644e-06,-2.245e-05,1.856e-07
358.4,1.465,-3.928e-05,-1.975e-05,-9.45e-06,-2.141e-05,3.493e-07
367.4,1.496,-3.367e-05,-1.503e-05,-9.126e-06,-2.273e-05,5.141e-07
376.4,1.527,-3.086e-05,-1.15e-05,-8.036e-06,-2.265e-05,7.973e-07
385.4,1.558,-4.489e-05,-1.372e-05,-8.474e-06,-2.27e-05,5.177e-07
394.4,1.589,-5.05e-05,-1.706e-05,-8.144e-06,-2.346e-05,3.07e-07
403.4,1.621,-3.367e-05,-1.698e-05,-8.982e-06,-2.279e-05,7.108e-08
412.4,1.653,0.0002693,3.379e-06,-6.293e-06,-2.253e-05,2.14e-06
422.2,1.687,-1.122e-05,-1.345e-05,-7.928e-06,-2.184e-05,1.098e-06
432.2,1.723,-2.244e-05,-1.673e-05,-7.993e-06,-2.218e-05,8.144e-07
442.2,1.759,-2.525e-05,-1.555e-05,-7.656e-06,-2.177e-05,7.213e-07
452.2,1.796,-1.964e-05,-1.549e-05,-7.72e-06,-2.135e-05,6.275e-07
462.2,1.833,-1.403e-05,-1.543e-05,-6.963e-06,-2.016e-05,7.267e-07
472.2,1.87,-1.683e-05,-1.429e-05,-6.607e-06,-1.971e-05,9.239e-07
482.2,1.907,-1.403e-05,-1.424e-05,-5.826e-06,-1.925e-05,8.296e-07
492.2,1.944,-1.122e-05,-1.311e-05,-5.452e-06,-1.816e-05,8.324e-07
502.2,1.982,-1.122e-05,-1.199e-05,-5.492e-06,-1.577e-05,7.369e-07
512.2,2.02,-1.403e-05,-1.196e-05,-5.106e-06,-1.653e-05,6.406e-07
522.9,2.062,-1.683e-05,-1.193e-05,-4.285e-06,-1.538e-05,3.954e-07
533.9,2.104,-2.244e-05,-1.299e-05,-4.315e-06,-1.485e-05,1.983e-07
544.9,2.147,-1.122e-05,-1.189e-05,-3.474e-06,-1.365e-05,2.484e-07
555.9,2.19,-1.122e-05,-9.71e-06,-3.495e-06,-1.309e-05,3.984e-07
