TIME (SECONDS),A (W/m^2),B (W/m^2),C (W/m^2),D (W/m^2),E (W/m^2),F (W/m^2)
14.2,30.522,-6.474,-2.861,15.378,-4.507,0.0
18.8,5.488,-3.753,0.039,2.941,-2.539,0.0
24.8,5.707,-4.884,0.219,3.104,-3.135,0.0
30.8,6.111,-2.754,0.501,3.244,-1.855,0.0
36.8,5.584,-10.651,0.003,3.232,-6.352,0.0
42.8,6.211,-3.887,0.396,3.327,-2.513,0.0
48.8,6.26,-4.018,0.228,3.296,-2.728,0.0
54.8,6.174,-3.919,0.321,3.174,-2.67,0.0
68.2,6.31,-2.502,0.477,3.1,-1.884,0.0
72.8,6.076,-3.348,0.302,3.146,-2.354,0.0
78.8,6.224,-3.309,0.567,3.041,-2.547,0.0
84.8,6.316,-3.631,0.142,2.998,-2.712,0.0
90.8,6.186,-3.54,0.094,2.99,-2.653,0.0
96.8,6.251,-3.429,0.136,2.841,-2.603,0.0
102.8,5.981,-3.334,0.187,3.05,-2.537,0.0
108.8,6.04,-3.14,0.285,2.739,-2.613,0.0
114.8,5.819,-3.158,0.283,2.18,-2.589,0.0
134.2,5.708,-2.553,0.689,2.398,-2.254,0.0
138.8,5.465,-2.936,0.205,2.939,-2.328,0.0
144.8,5.065,-2.848,0.303,2.609,-2.231,0.0
150.8,5.523,-3.136,0.473,2.631,-2.365,0.0
156.8,5.517,-2.938,0.217,2.465,-2.198,0.0
162.8,5.24,-2.919,0.327,2.351,-2.25,0.0
168.8,5.088,-2.624,0.262,2.287,-2.22,0.0
174.8,4.965,-2.666,0.293,2.373,-2.264,0.0
188.2,4.908,-2.822,0.143,2.085,-2.207,0.0
192.8,4.963,-2.545,0.181,2.043,-2.215,0.0
198.8,4.915,-2.663,0.405,2.128,-2.217,0.0
204.8,4.622,-2.737,0.226,2.12,-2.138,0.0
210.8,4.907,-2.716,0.337,2.554,-2.052,0.0
216.8,5.029,-2.589,0.369,2.141,-2.049,0.0
222.8,4.935,-2.704,0.212,1.839,-2.23,0.0
228.8,4.198,-2.527,0.331,1.89,-2.041,0.0
234.8,4.377,-2.621,0.327,1.878,-2.037,0.0
254.2,4.088,-2.403,0.32,1.693,-1.791,0.0
258.8,3.952,-2.365,0.277,1.79,-1.97,0.0
264.8,4.126,-2.409,0.301,1.715,-1.875,0.0
270.8,3.912,-2.236,0.121,1.686,-1.808,0.0
276.8,4.025,-2.097,0.486,1.714,-1.208,0.0
282.8,4.28,-2.321,0.023,1.716,-1.815,0.0
288.8,3.683,-2.225,0.299,1.638,-1.772,0.0
294.8,3.823,-2.142,0.419,1.667,-1.712,0.0
308.2,3.811,-2.283,0.691,1.71,-1.781,0.0
312.8,3.657,-2.145,0.361,2.853,-1.638,0.0
318.8,3.657,-2.157,0.527,1.604,-1.672,0.0
324.8,3.652,-2.042,0.515,1.502,-1.589,0.0
330.8,3.501,-1.98,0.51,1.552,-1.586,0.0
336.8,3.502,-2.107,0.553,1.52,-1.559,0.0
342.8,3.391,-2.002,0.627,1.516,-1.509,0.0
348.8,3.413,-2.014,0.677,1.47,-1.481,0.0
354.8,3.339,-1.905,0.67,1.506,-1.425,0.0
374.2,3.041,-1.89,0.781,1.474,-1.355,0.0
378.8,3.121,-1.754,0.737,1.409,-1.379,0.0
384.8,3.092,-1.811,0.742,1.372,-1.298,0.0
390.8,3.135,-1.835,0.733,1.399,-1.293,0.0
396.8,3.062,-1.76,0.636,1.335,-1.261,0.0
402.8,3.031,-1.794,0.724,1.355,-1.27,0.0
408.8,2.954,-1.761,0.714,1.32,-1.21,0.0
414.8,2.917,-1.753,0.689,1.421,-1.218,0.0
428.2,2.859,-1.636,0.691,1.334,-1.161,0.0
432.8,2.888,-1.686,0.735,1.327,-1.169,0.0
438.8,2.844,-1.641,0.655,1.275,-1.143,0.0
444.8,2.805,-1.64,0.69,1.287,-1.126,0.0
450.8,2.76,-1.616,0.727,1.274,-1.082,0.0
456.8,2.736,-1.632,0.739,1.273,-1.102,0.0
462.8,2.745,-1.604,0.733,1.23,-1.048,0.0
468.8,2.707,-1.558,0.702,1.229,-1.039,0.0
474.8,2.623,-1.556,0.746,1.205,-1.005,0.0
494.2,2.495,-1.498,0.752,1.179,-0.985,0.0
498.8,2.536,-1.466,0.742,1.171,-0.952,0.0
504.8,2.5,-1.466,0.775,1.212,-0.935,0.0
510.8,2.511,-1.449,0.759,1.177,-0.94,0.0
516.8,2.459,-1.369,0.768,1.162,-0.897,0.0
522.8,2.443,-1.406,0.753,1.156,-0.865,0.0
528.8,2.445,-1.391,0.792,1.136,-0.863,0.0
534.8,2.364,-1.333,0.785,1.16,-0.833,0.0
548.2,2.325,-1.301,0.818,1.122,-0.805,0.0
552.8,2.344,-1.28,0.763,1.161,-0.811,0.0
558.8,2.298,-1.325,0.774,1.141,-0.8,0.0
564.8,2.284,-1.296,0.802,1.135,-0.755,0.0
570.8,2.298,-1.291,0.792,1.112,-0.757,0.0
576.8,2.271,-1.222,0.787,1.096,-0.73,0.0
582.8,2.231,-1.218,0.802,1.094,-0.754,0.0
588.8,2.216,-1.216,0.766,1.078,-0.703,0.0
594.8,2.214,-1.225,0.801,1.079,-0.711,0.0
614.2,2.208,-1.19,0.791,1.018,-0.653,0.0
618.8,2.254,-1.145,0.817,1.048,-0.631,0.0
624.8,2.135,-1.186,0.795,0.99,-0.641,0.0
630.8,2.144,-1.148,0.855,1.035,-0.64,0.0
636.8,2.092,-1.118,0.857,1.038,-0.611,0.0
642.8,2.205,-1.132,0.819,0.984,-0.61,0.0
648.8,2.076,-1.113,0.852,0.989,-0.593,0.0
654.8,2.029,-1.11,0.879,1.009,-0.575,0.0
668.2,2.009,-1.026,0.914,0.981,-0.532,0.0
672.8,2.008,-1.082,0.905,1.017,-0.554,0.0
678.8,2.062,-1.082,0.883,1.006,-0.527,0.0
684.8,2.074,-1.042,0.922,0.932,-0.524,0.0
690.8,1.967,-0.986,0.92,0.965,-0.507,0.0
696.8,2.076,-0.983,0.928,0.963,-0.504,0.0
702.8,1.96,-0.992,0.975,0.974,-0.483,0.0
708.8,2.118,-0.992,0.928,0.937,-0.509,0.0
714.8,1.975,-0.915,1.0,0.947,-0.449,0.0
734.2,1.922,-0.941,1.048,0.94,-0.382,0.0
738.8,1.946,-0.841,1.069,0.946,-0.402,0.0
744.8,1.925,-0.857,1.098,0.887,-0.424,0.0
750.8,2.012,-0.867,1.047,0.928,-0.403,0.0
756.8,1.965,-0.843,1.115,0.927,-0.344,0.0
762.8,1.988,-0.873,1.145,0.901,-0.369,0.0
768.8,1.954,-0.871,1.165,0.933,-0.371,0.0
774.8,1.989,-0.797,1.193,0.887,-0.343,0.0
788.2,1.946,-0.794,1.194,0.847,-0.293,0.0
792.8,1.968,-0.818,1.281,0.863,-0.298,0.0
798.8,1.941,-0.801,1.211,0.833,-0.311,0.0
804.8,1.95,-0.795,1.338,0.846,-0.312,0.0
810.8,1.925,-0.752,1.346,0.842,-0.272,0.0
816.8,1.969,-0.761,1.311,0.813,-0.268,0.0
822.8,2.037,-0.716,1.314,0.742,-0.313,0.0
828.8,1.965,-0.687,1.38,0.735,-0.297,0.0
834.8,1.973,-0.706,1.407,0.762,-0.322,0.0
854.2,1.982,-0.699,1.48,0.703,-0.256,0.0
858.8,1.989,-0.713,1.523,0.656,-0.272,0.0
864.8,2.008,-0.71,1.5,0.654,-0.255,0.0
870.8,1.857,-0.657,1.503,0.65,-0.235,0.0
876.8,1.933,-0.733,1.53,0.661,-0.263,0.0
882.8,1.823,-0.64,1.544,0.672,-0.238,0.0
888.8,1.717,-0.571,1.597,0.65,-0.163,0.0
894.8,1.893,-0.644,1.617,0.661,-0.243,0.0
908.2,1.839,-0.576,1.626,0.661,-0.17,0.0
912.8,1.863,-0.643,1.641,0.618,-0.214,0.0
918.8,2.007,-0.663,1.604,0.606,-0.196,0.0
924.8,1.905,-0.596,1.615,0.606,-0.174,0.0
930.8,1.886,-0.596,1.596,0.615,-0.201,0.0
936.8,1.754,-0.571,1.666,0.616,-0.134,0.0
942.8,1.898,-0.61,1.636,0.575,-0.207,0.0
948.8,1.987,-0.583,1.732,0.596,-0.214,0.0
954.8,2.011,-0.652,1.711,0.616,-0.19,0.0
974.2,1.997,-0.633,1.768,0.595,-0.154,0.0
978.8,1.925,-0.535,1.705,0.533,-0.128,0.0
984.8,1.886,-0.581,1.827,0.578,-0.153,0.0
990.8,1.983,-0.602,1.798,0.595,-0.133,0.0
996.8,1.969,-0.562,1.808,0.603,-0.13,0.0
1002.8,1.981,-0.506,1.827,0.547,-0.146,0.0
1008.8,1.987,-0.575,1.854,0.559,-0.177,0.0
1014.8,2.027,-0.566,1.795,0.52,-0.06,0.0
1028.2,1.86,-0.51,1.847,0.569,-0.136,0.0
1032.8,1.941,-0.477,1.834,0.544,-0.1,0.0
1038.8,1.934,-0.498,1.874,0.532,-0.105,0.0
1044.8,2.012,-0.522,1.918,0.546,-0.09,0.0
1050.8,1.93,-0.474,1.895,0.526,-0.085,0.0
1056.8,1.97,-0.467,1.947,0.524,-0.101,0.0
1062.8,2.028,-0.481,1.943,0.496,-0.131,0.0
1068.8,2.017,-0.513,1.969,0.494,-0.144,0.0
1074.8,1.971,-0.385,1.935,0.493,-0.065,0.0
1094.2,1.99,-0.347,1.947,0.437,-0.013,0.0
1098.8,1.997,-0.498,2.01,0.497,-0.121,0.0
1104.8,2.026,-0.457,2.001,0.467,-0.125,0.0
1110.8,1.986,-0.439,1.99,0.468,-0.067,0.0
1116.8,2.038,-0.407,1.958,0.47,-0.085,0.0
1122.8,2.04,-0.377,2.025,0.448,-0.068,0.0
1128.8,2.06,-0.446,1.963,0.428,-0.099,0.0
1134.8,2.028,-0.4,2.048,0.436,-0.091,0.0
1148.2,2.098,-0.426,2.064,0.397,-0.04,0.0
1152.8,2.085,-0.367,1.991,0.356,-0.035,0.0
1158.8,2.148,-0.511,2.084,0.447,-0.056,0.0
1164.8,2.08,-0.323,1.994,0.362,-0.047,0.0
1170.8,2.086,-0.385,2.016,0.462,-0.086,0.0
1176.8,2.109,-0.386,2.016,0.387,-0.056,0.0
1182.8,2.131,-0.358,2.147,0.42,-0.07,0.0
1188.8,2.121,-0.337,2.13,0.381,-0.048,0.0
1194.8,2.239,-0.341,2.048,0.372,-0.098,0.0
1214.2,2.192,-0.404,2.111,0.469,-0.03,0.0
1218.8,2.11,-0.289,2.25,0.389,-0.03,0.0
1224.8,2.299,-0.325,2.104,0.401,-0.093,0.0
1230.8,2.137,-0.341,2.256,0.443,-0.049,0.0
1236.8,2.177,-0.329,2.269,0.405,-0.041,0.0
1242.8,2.067,-0.295,2.331,0.281,0.009,0.0
1248.8,2.259,-0.332,2.175,0.428,-0.015,0.0
1254.8,2.231,-0.343,2.248,0.433,-0.012,0.0
1268.2,2.238,-0.153,2.177,0.32,-0.047,0.0
1272.8,2.29,-0.352,2.353,0.429,-0.063,0.0
1278.8,2.334,-0.293,2.322,0.347,-0.028,0.0
1284.8,2.255,-0.259,2.289,0.406,-0.019,0.0
1290.8,2.375,-0.364,2.342,0.405,-0.059,0.0
1296.8,2.295,-0.318,2.377,0.362,-0.044,0.0
1302.8,2.24,-0.307,2.394,0.378,-0.006,0.0
1308.8,2.208,-0.215,2.35,0.364,-0.006,0.0
1314.8,2.299,-0.272,2.354,0.423,-0.06,0.0
1334.2,2.333,-0.223,2.483,0.24,-0.047,0.0
1338.8,2.3,-0.224,2.376,0.365,-0.04,0.0
1344.8,2.409,-0.286,2.397,0.319,-0.023,0.0
1350.8,2.337,-0.287,2.334,0.427,-0.077,0.0
1356.8,2.371,-0.282,2.489,0.309,-0.065,0.0
1362.8,2.41,-0.239,2.347,0.295,-0.016,0.0
1368.8,2.56,-0.258,2.44,0.243,-0.079,0.0
1374.8,2.453,-0.333,2.441,0.323,-0.078,0.0
1388.2,2.371,-0.245,2.395,0.38,-0.091,0.0
1392.8,2.347,-0.287,2.667,0.241,-0.082,0.0
1398.8,2.284,-0.199,2.586,0.203,-0.006,0.0
1404.8,2.383,-0.311,2.546,0.292,-0.031,0.0
1410.8,2.507,-0.242,2.508,0.24,-0.071,0.0
1416.8,2.422,-0.144,2.403,0.339,-0.032,0.0
1422.8,2.49,-0.202,2.354,0.327,-0.021,0.0
