TIME (SECONDS),A_TCNFDN (W/m^2),B_TCNFDN (W/m^2),C_TCNFDN (W/m^2),D_TCNFDN (W/m^2),E_TCNFDN (W/m^2),F_TCNFDN (W/m^2)
14.2,30.871,-6.342,-2.099,15.852,-4.239,-1.975
18.8,5.697,-3.674,0.493,3.223,-2.379,0.093
24.8,5.774,-4.858,0.365,3.195,-3.084,0.024
30.8,6.042,-2.78,0.351,3.151,-1.908,-0.061
36.8,5.384,-10.727,-0.433,2.961,-6.505,-0.167
42.8,5.885,-4.011,-0.315,2.885,-2.763,-0.223
48.8,5.813,-4.187,-0.747,2.69,-3.071,-0.406
54.8,5.61,-4.132,-0.908,2.409,-3.103,-0.52
68.2,5.534,-2.797,-1.215,2.047,-2.479,-0.824
72.8,5.194,-3.683,-1.622,1.95,-3.031,-0.742
78.8,5.245,-3.68,-1.567,1.714,-3.297,-0.918
84.8,5.246,-4.036,-2.189,1.547,-3.532,-1.075
90.8,5.03,-3.978,-2.426,1.422,-3.54,-1.185
96.8,5.013,-3.898,-2.561,1.163,-3.552,-1.101
102.8,4.667,-3.832,-2.677,1.268,-3.545,-1.335
108.8,4.655,-3.665,-2.734,0.861,-3.675,-1.342
114.8,4.367,-3.708,-2.882,0.212,-3.703,-1.38
134.2,4.093,-3.166,-2.832,0.207,-3.493,-1.722
138.8,3.797,-3.568,-3.432,0.677,-3.608,-1.888
144.8,3.355,-3.496,-3.425,0.289,-3.543,-1.537
150.8,3.776,-3.799,-3.335,0.262,-3.705,-1.669
156.8,3.75,-3.608,-3.634,0.069,-3.553,-1.759
162.8,3.451,-3.597,-3.572,-0.075,-3.622,-1.662
168.8,3.296,-3.304,-3.645,-0.144,-3.595,-1.74
174.8,3.157,-3.351,-3.65,-0.08,-3.652,-1.754
188.2,3.093,-3.51,-3.814,-0.378,-3.6,-2.066
192.8,3.146,-3.234,-3.779,-0.421,-3.609,-1.679
198.8,3.103,-3.35,-3.544,-0.329,-3.607,-1.827
204.8,2.825,-3.418,-3.692,-0.318,-3.517,-1.524
210.8,3.124,-3.392,-3.55,0.136,-3.42,-1.693
216.8,3.267,-3.257,-3.471,-0.249,-3.4,-1.937
222.8,3.192,-3.365,-3.588,-0.525,-3.567,-1.531
228.8,2.475,-3.181,-3.426,-0.447,-3.363,-1.451
234.8,2.683,-3.264,-3.366,-0.419,-3.336,-1.512
254.2,2.446,-3.026,-3.26,-0.534,-3.051,-1.597
258.8,2.329,-2.98,-3.262,-0.412,-3.215,-1.369
264.8,2.542,-3.009,-3.152,-0.433,-3.09,-1.492
270.8,2.369,-2.821,-3.245,-0.408,-2.992,-1.419
