SPECIES OR RATIO,MIXING RATIO OR ISOTOPE RATIO,MOLE FRACTION,RATIO TO SOLAR
4He,0.157+-0.030,0.136+-0.026,0.8
3He/4He,(1.66+-0.05)x10-4,N/A,N/A
(D + 3He)/H,(4.3+-1.6)x10-5,N/A,N/A
D/H,(2.6+-0.7)x10-5,N/A,N/A
20Ne,< 3x10-5,<= 2.6x10-5,<= 0.13
36Ar,<= 10.5x10-6,<= 9.06x10-6,<= 1.7
84Kr,<= 3.7x10-9,<= 3.2x10-9,<= 2
132Xe,<= 4.5x10-10,<= 3.8x10-10,<= 5
129Xe/(total Xe),0.259+-0.013,N/A,N/A
132Xe/(total Xe),0.277+-0.014,N/A,N/A
H2O (3.6 bar),<= 8x10-7,<= 6.9x10-7,<= 4.1x10-4
H2O (12 bar),<= (5.6+-2.5)x10-5,<= (4.8+-2.1)x10-5,<= 0.033
H2O (19 bar),<= (6+-3)x10-4,<= (5.2+-2.6)x10-4,<= 0.35
CH4,(2.10+-0.4)x10-3,(1.81+10.34)x10-3,2.9
13C/12C,0.0108+-0.0005,N/A,N/A
NH3 (>15 bar),<= 2.3x10-3,2x10-3,<= 10
H2S (3.6 bar),< 10-6,< 8.6x10-7,< 0.03
H2S (8.7 bar),7x10-6,6.1x10-6,0.23
H2S (>16 bar),(7.7+-0.5)x10-5,6.7x10-5,2.5
PH3 (> 16 bar),<= 6x10-6,<= 5.2x10-6,<= 8
Cl,detected,UNK,UNK
